article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
rostaa blueberry swt&delicious pp 75g,rostaa blueberry swt& pp ,75g,delicious,chips namkeens snacks,branded food,flavor: blueberry,rostaa swt& pp ,[]
rostaa dry frt prunes pp 227g, dry frt prunes pp ,227g,rostaa,toys,toys stationery,flavor: prunes, dry frt pp ,['dry']
ts nail enamel rose quartz 9ml, nail enamel rose quartz ,9ml,ts,toys,toys stationery,, nail enamel roe quartz ,"['nail', 'enamel', 'roe', 'quartz']"
"royal dansk chocolate luxury wafer rolls, 300g"," chocolate luxury wafer rolls, ",300g,royal dansk,chocolates cakes confectioneries,branded food,type: chocolate flavor: chocolate," luxury wafer rolls, ","['luxury', 'wafer']"
joy body lotion pure aloe 300ml, body lotion pure aloe ,300ml,joy,skin care,beauty personal care,type: aloe type: lotion flavor: aloe, body pure ,"['body', 'pure']"
suhana chivda masala pp 100g, chivda masala pp ,100g,suhana ,chips namkeens snacks,branded food,, chivda maala pp ,[]
swiss tmp hw cream moisturising rf 750m, tmp hw cream moisturising rf 750m,,swiss tempelle,otc,beauty personal care,type: cream flavor: cream, tmp hw moisturising rf 750m,"['tmp', 'moisturising']"
tata flavoritz st lemon coriander bt 40g, flavoritz st lemon coriander bt ,40g,tata,salt sugar jaggery,grocery,flavor: coriander flavor: lemon, flavoritz st bt ,[]
godrej no 1 saffron & milk crm 4*100g, no affron & milk crm 4*00g,1 s,godrej no.1,skin care,beauty personal care,flavor: milk, no affron & crm 4*00g,[]
english oven bread multigrain, bread multigrain,,english oven,jams spreads honey,branded food,flavor: bread flavor: multigrain, ,[]
fena det pow 500g, det pow ,500g,fena,toys,toys stationery,, det pow ,"['det', 'pow']"
eveready led light bulb brightest bx 7w, led light bulb brightest bx 7w,,eveready,toys,toys stationery,flavor: bulb color: light, led brightest bx 7w,"['led', 'brightest']"
parle candy kismi toffee 294g, candy kismi toffee ,294g,parle,chocolates cakes confectioneries,branded food,flavor: toffee flavor: candy, kismi ,[]
ph urad dal pp 500g,ph urad dal pp ,500g,,chocolates cakes confectioneries,branded food,flavor: urad flavor: dal,ph pp ,[]
ph urad whole white pp 500g,ph urad whole white pp ,500g,mr.white,chocolates cakes confectioneries,branded food,flavor: urad color: white,ph whole pp ,['whole']
choice masala boondi 200g, boondi ,200g,easy choice,masala spices,grocery,, boondi ,[]
mccain french fries variety pack pp 550g, french fries variety pack pp ,550g,mccain,frozen veg,branded food,flavor: fries, french variety pack pp ,"['french', 'variety', 'pack']"
ayush shampoo l &st shikakai 175ml, shampoo l &st shikakai ,175ml,lever ayush,hair care,beauty personal care,type: shampoo, l &st shikakai ,[]
3m post-it 3 x 3 x 100s, 3 x 3 x 100s,3m pos,3m post-it,toys,toys stationery,, 3 x 3 x 100,['100']
vaseline lip therapy cocoa 4 g, lip therapy cocoa ,4 g,vaseline,skin care,beauty personal care,, lip therapy cocoa ,"['lip', 'therapy', 'cocoa']"
yummiez chick sausage chilli 250g pack, chick sausage chilli ack,250g p,yummiez,frozen veg,branded food,flavor: chilli flavor: sausage, chick ack,"['chick', 'ack']"
old spice deo original man cn 150ml, deo original man cn ,150ml,old spice,deos perfumes,beauty personal care,, deo original man cn ,"['deo', 'original', 'man']"
old spice aft shave ltn musk bx 100ml, aft shave ltn musk bx ,100ml,old spice,freshners repellents,home hygiene,, aft have ltn muk bx ,"['aft', 'muk']"
olay cleanser total effect foaming 100g, cleanser total effect foaming ,100g,olay,skin care,beauty personal care,type: cleanser, total effect foaming ,"['total', 'effect', 'foaming']"
mixed fruit aloevera juice 1000 ml,mixed aloevera juice ,1000 ml,fruit,fruit juices drinks,beverages,flavor: juice,mixed aloevera ,['mixed']
pedigree petfood meat jerky roasted lamb flavour 80g, food meat jerky roasted lamb flavour ,80g,pedigree,pet care,home hygiene,flavor: lamb flavor: roasted flavor: meat, food jerky flavour ,"['food', 'jerky', 'flavour']"
loreal extrordnry clay conditioner 175ml,loreal extrordnry clay conditioner ,175ml,,hair care,beauty personal care,type: conditioner,loreal extrordnry clay ,['clay']
aachi readymix sambar pp 100g, readymix sambar pp ,100g,aachi,masala spices,grocery,flavor: sambar, readymix pp ,[]
foodex ghujia250g, ghujia,250g,foodex,chocolates cakes confectioneries,branded food,, ghujia,[]
zandu lalima blood&skin purifier 200ml, lalima blood&skin purifier ,200ml,zandu,toys,toys stationery,type: purifier, lalima blood&skin ,[]
dabur hairoil anmol 500m, hairoil anmol 500m,,dabur,otc,beauty personal care,, hairoil anmol 500m,[]
mawana sugar breakfast bx 500g, breakfast bx ,500g,mawana,salt sugar jaggery,grocery,, breakfat bx ,[]
unibic choco chip 2+1 300g op, choco chip 2+ op,1 300g,unibic,biscuits cookies crackers,branded food,flavor: choco, chip 2+ op,['chip']
sunfeast crm bis df choco coffee bx 75g, crm bis df choco coffee bx ,75g,sunfeast,biscuits cookies crackers,branded food,flavor: choco, crm bis df coffee bx ,"['bis', 'coffee']"
orbit white fresh mint sugar free gum 66g,orbit white fresh mint gum ,66g,sugar free,salt sugar jaggery,grocery,flavor: mint color: white,orbit fresh gum ,"['orbit', 'fresh', 'gum']"
yardley deo gentleman 150ml, deo gentleman ,150ml,yardley london,deos perfumes,beauty personal care,, deo gentleman ,"['deo', 'gentleman']"
dove conditioner intense repair 80ml, conditioner intense repair ,80ml,dove,hair care,beauty personal care,type: conditioner, intense repair ,"['intense', 'repair']"
colgate tpaste maxfresh red 80g, tpaste maxfresh red ,80g,colgate,oral care,beauty personal care,color: red, tpaste maxfresh ,[]
colgate tpaste senst pro relief 80g, tpaste senst pro relief ,80g,colgate,oral care,beauty personal care,, tpate ent pro relief ,"['ent', 'pro', 'relief']"
badshah readymix fish bx 50g, readymix fish bx ,50g,badshah,toys,toys stationery,flavor: fish, readymix bx ,[]
dove envronmentl defenc condtnr bt 180ml, envronmentl defenc condtnr bt ,180ml,dove,hair care,beauty personal care,, envronmentl defenc condtnr bt ,[]
layerr deo vanilla twist wottagirl 135ml, deo vanilla twist wottagil ,135ml,layer r wottagirl!,deos perfumes,beauty personal care,flavor: vanilla, deo twist wottagil ,"['deo', 'twist']"
britannia danedar desi ghee tp 1l, danedar desi ghee tp ,1l,britannia,biscuits cookies crackers,branded food,flavor: ghee, danedar desi tp ,['desi']
act ii classic salted instant pop corn 35g, classic salted instant pop corn ,35g,act ii,chips namkeens snacks,branded food,flavor: corn, classic salted instant pop ,"['classic', 'salted', 'instant', 'pop']"
schogetten chocolate milk hazelnut 100g, chocolate milk hazelnut ,100g,schogetten,chocolates cakes confectioneries,branded food,type: chocolate flavor: milk flavor: chocolate flavor: hazelnut, ,[]
pooof wafflet coffee hazelnut 100g,pooof wafflet hazelnut ,100g,pooof!,tea coffee,beverages,flavor: hazelnut,pooof wafflet ,[]
lakme n e color remover 27ml, n e color remover ,27ml,lakme,skin care,beauty personal care,type: remover color: color, n e ,[]
soulfull choco-fills ragi box 250g, choco-fills ragi box ,250g,soulfull,breakfast cereals,branded food,flavor: ragi, choco-fills box ,['box']
lakme blush & glow strawberry face mask 50 g, blush & low strawberry face mask ,50 g,lakme,skin care,beauty personal care,type: mask flavor: strawberry, blush & low face ,"['blush', 'low', 'face']"
himalaya sc oil free gel cream bx 50g, sc oil free gel cream bx ,50g,himalaya,skin care,beauty personal care,type: cream flavor: cream type: gel, sc oil free bx ,"['oil', 'free']"
himalaya strawberry shine lip blam, strawberry shine lip blam,,himalaya,skin care,beauty personal care,flavor: strawberry, shine lip blam,"['shine', 'lip']"
uncle chipps spicy treat 28g, spicy treat ,28g,uncle chipps,mineral water soda,beverages,flavor: spicy, treat ,['treat']
mtr lemon rice paste 60g, lemon rice paste ,60g,mtr,masala spices,grocery,flavor: rice flavor: lemon, paste ,['paste']
mtr rasogolla tub 120g, rasogolla tub ,120g,mtr,ready to eat,branded food,type: tub, rasogolla ,[]
gillette after shave ltn cool wave 50m, after shave ltn cool wave 50m,,gillette,men toiletries,beauty personal care,, after have ltn cool wave 50m,"['cool', 'wave']"
health 1st hlth snck whole flaxseed 250g, th snck whole flaxseed 250g,1st hl,health 1st,chocolates cakes confectioneries,branded food,flavor: flaxseed, th snck whole 250g,['whole']
gh fruit n nut anjeer 200g,gh n nut anjeer ,200g,fruit,chocolates cakes confectioneries,branded food,,gh n nut anjeer ,['nut']
gh jaggery cube 500g,gh jaggery cube ,500g,,laundry,home hygiene,flavor: jaggery,gh cube ,['cube']
diana floor wiper,diana floor wiper,,gebi,home cleaning,home hygiene,,diana floor wiper,"['diana', 'floor', 'wiper']"
airwick rm frsnr spray lavender dew 249m,airwick rm frsnr spray lavender dew 249m,,,oral care,beauty personal care,color: lavender flavor: lavender,airwick rm frsnr spray dew 249m,"['spray', 'dew']"
raw rice gujrat 70 sonam loose,raw gujrat onam ,70 s,loose,rice wheat other grains,grocery,,raw gujrat onam ,['raw']
vlcc pearl fairness facial kit 65.7g, pearl fairness facial kit ,65.7g,vlcc,skin care,beauty personal care,, pearl fairne facial kit ,"['pearl', 'facial', 'kit']"
rasna orange fruit concentrate 500g, orange concentrate ,500g,rasna,fruit juices drinks,beverages,flavor: orange color: orange, concentrate ,['concentrate']
chings green chilly sauce 190g,chings chilly sauce ,190g,green brrew,sauces puree dips,branded food,flavor: sauce,chings chilly ,['chilly']
bail kohlu kachi ghani mustard oil pp 1l, kachi ghani mustard pp ,1l,bail kohlu,edible oil ghee,grocery,flavor: mustard, kachi ghani pp ,['ghani']
monin liq conc passion fruit bt 250m, liq conc passion fruit bt 250m,,monin,chocolates cakes confectioneries,branded food,flavor: fruit, liq conc passion bt 250m,"['conc', 'passion']"
brijnandan namk gud para pp 400g,brijnandan namk para pp ,400g,gud egg,toys,toys stationery,,brijnandan namk para pp ,['para']
simco hair gel supreme bt 500g, gel supreme bt ,500g,simco,hair care,beauty personal care,type: gel, supreme bt ,['supreme']
abbies sauce yellow mustard squeeze 397g,abbies sauce yellow mustard squeeze ,397g,,sauces puree dips,branded food,color: yellow flavor: sauce flavor: mustard,abbies squeeze ,['squeeze']
mamypoko pants diaper s9, pants diaper s9,,mamypoko,baby care,baby care,type: diaper type: pants, s9,[]
kiwi dranex drain clnr 50g, drain clnr ,50g,kiwi dranex,home cleaning,home hygiene,, drain clnr ,['drain']
haldiram namkeen salted peanut 200g, namkeen alted peanut ,200g,haldiram s,chips namkeens snacks,branded food,flavor: peanut flavor: namkeen, alted ,[]
colgate tpaste herbal 100g, tpaste herbal ,100g,colgate,oral care,beauty personal care,type: herbal, tpaste ,[]
kellogs cornflake 100g,kellogs cornflake ,100g,,chocolates cakes confectioneries,branded food,flavor: cornflake,kellogs ,[]
desi atta chana sattu pp 500g, chana sattu pp ,500g,desi atta company,dry fruits,grocery,flavor: sattu flavor: chana, pp ,[]
johnsons shmp actv kids cln&frsh bt 100m,johnsons shmp actv kids cln&frsh bt 100m,,,toys,toys stationery,,johnon hmp actv kid cln&frh bt 100m,['kid']
parle bis nutricrunch dig honey&oat 100g, bis nutricrunch dig honey&oat ,100g,parle,biscuits cookies crackers,branded food,, bi nutricrunch dig honey&oat ,['dig']
catch readymix pavbhaji bx 100g, readymix pavbhaji bx ,100g,catch,masala spices,grocery,, readymix pavbhaji bx ,[]
whisper san pad maxi fit regular 8p, san pad maxi fit regular ,8p,whisper,feminine care,beauty personal care,type: maxi, san pad fit regular ,"['san', 'pad', 'fit', 'regular']"
fun foods tandoori mayonnaise jar 275g,fun tandoori mayonnaise jar ,275g,hr foods,jams spreads honey,branded food,type: mayonnaise flavor: tandoori flavor: mayonnaise,fun jar ,"['fun', 'jar']"
dabur honey 100g, ,100g,dabur,jams spreads honey,branded food,, ,[]
mtr 3 min poha 80g, 3 min poha ,80g,mtr,ready to eat,branded food,flavor: poha, 3 min ,['min']
himalaya fw lemon intense oil clear 50ml, fw lemon intense oil clear ,50ml,himalaya,skin care,beauty personal care,flavor: lemon, fw intense oil clear ,"['intense', 'oil', 'clear']"
himalaya fw licorice power glow 50ml, fw licorice power glow ,50ml,himalaya,baby care,baby care,flavor: licorice color: glow, fw power ,['power']
himalaya fw neem pimple clear men 50ml, fw neem pimple clear men ,50ml,himalaya,skin care,beauty personal care,type: neem, fw pimple clear men ,"['pimple', 'clear', 'men']"
domex tlt clnr zero stain lemon bt 450ml, tlt clnr zero stain lemon bt ,450ml,domex,freshners repellents,home hygiene,flavor: lemon, tlt clnr zero stain bt ,"['zero', 'stain']"
sunkist guava juice 1l, guava juice ,1l,sunkist,fruit juices drinks,beverages,flavor: juice flavor: guava, ,[]
navratna i cool talc 400 gms, i cool talc ms,400 g,himani navratna,oral care,beauty personal care,type: talc, i cool ms,['cool']
smith & jo preserve garlic paste pp 200g,smith & preserve garlic paste pp ,200g,jo,jams spreads honey,branded food,flavor: garlic,smith & preserve paste pp ,"['smith', 'preserve', 'paste']"
gh prime who spice blk must 100g,gh prime who blk must ,100g,old spice,stationery,toys stationery,,gh prime who blk mut ,['prime']
jalani pudina aam panna 10 glass packbox, pudina aam panna ass packbox,10 gl,jalani,chocolates cakes confectioneries,branded food,flavor: pudina, aam panna ass packbox,"['panna', 'ass']"
pratha agrbti mutha aradhan chloris 200g, agrbti mutha aradhan chloris ,200g,pratha,toys,toys stationery,, agrbti mutha aradhan chlori ,[]
britannia marie gold biscuit 250g, marie gold biscuit ,250g,britannia,biscuits cookies crackers,branded food,, marie gold bicuit ,"['marie', 'gold']"
livon silky potion 20ml, silky potion ,20ml,livon,hair care,beauty personal care,, ilky potion ,['potion']
desi atta co besan ladoo mix 200g, co besan ladoo mix ,200g,desi atta company,baking dessert mixes,branded food,flavor: besan flavor: ladoo, co mix ,['mix']
desi atta thalipt mgrn prtha mix pp 200g, thalipt mgrn prtha mix pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,, thalipt mgrn prtha mix pp ,['mix']
colgate tpaste maxfresh blue 150g, tpaste maxfresh blue ,150g,colgate,oral care,beauty personal care,color: blue, tpaste maxfresh ,[]
sourpunk candy stick cola pp 40g, candy stick cola pp ,40g,sourpunk,stationery,toys stationery,flavor: candy, stick cola pp ,"['stick', 'cola']"
baidyanath maharasnadi kwath 450ml, maharasnadi kwath ,450ml,baidyanath,toys,toys stationery,, maharanadi kwath ,[]
dove go fresh body lotion 100 ml, go fresh body lotion ,100 ml,dove,skin care,beauty personal care,type: lotion, go fresh body ,"['fresh', 'body']"
badshah readymix tea masala bx 50g, readymix masala bx ,50g,badshah,tea coffee,beverages,, readymix maala bx ,[]
similac infant advance stage 1 jar 400g, infant advance stage 1 jar ,400g,similac,baby care,baby care,, infant advance tage 1 jar ,"['infant', 'advance', 'jar']"
haldiram ni namk taka tak 120g, ni namk taka tak ,120g,haldiram s,chips namkeens snacks,branded food,, ni namk taka tak ,['tak']
pedigree pet food puppy 10kg, food puppy ,10kg,pedigree,pet care,home hygiene,, food puppy ,"['food', 'puppy']"
pedigree pet food dentastix puppy, food dentastix puppy,,pedigree,pet care,home hygiene,, food dentatix puppy,"['food', 'puppy']"
pepsodent expert protection pro-sensitive toothpaste 80 g, expert protection pro-sensitive toothpaste ,80 g,pepsodent,oral care,beauty personal care,type: toothpaste, expert protection pro-sensitive ,"['expert', 'protection']"
parle bis hide & seek 33g, bis hide & seek ,33g,parle,biscuits cookies crackers,branded food,, bi hide & eek ,['hide']
baker stre toast cake rusk 150g, stre toast cake rusk ,150g,baker street,toys,toys stationery,flavor: rusk, stre toast cake ,"['toast', 'cake']"
patanjali black pepper whole 100g, black pepper whole ,100g,patanjali,masala spices,grocery,flavor: pepper color: black, whole ,['whole']
park avenue deo voyage2*100g+neo 100g op, deo voyage+neo 100g op,2*100g,park avenue,deos perfumes,beauty personal care,, deo voyage+neo 100g op,['deo']
pet saffa laxative granuels bt 120g,pet saffa laxative granuels bt ,120g,,otc,beauty personal care,,pet affa laxative granuel bt ,"['pet', 'laxative']"
fogg deo extreme cn 120ml, deo extreme cn ,120ml,fogg,deos perfumes,beauty personal care,, deo extreme cn ,"['deo', 'extreme']"
fogg deo marco men cn 150ml, deo marco men cn ,150ml,fogg,deos perfumes,beauty personal care,, deo marco men cn ,"['deo', 'marco', 'men']"
fogg deo paradise women cn 150ml, deo paradise women cn ,150ml,fogg,deos perfumes,beauty personal care,, deo paradie women cn ,"['deo', 'women']"
tata black salt crusher bt 100g, black crusher bt ,100g,tata,salt sugar jaggery,grocery,color: black, crusher bt ,['crusher']
scotchbrite platinum scrub pad large,scotchbrite platinum pad large,,scrub & bright,cleaning accessories,home hygiene,,cotchbrite platinum pad large,"['platinum', 'pad', 'large']"
intl camay soap classic red 125g,intl soap classic red ,125g,camay,skin care,beauty personal care,type: soap color: red,intl classic ,['classic']
nestle latelier dark roasted almond 115g, latelier dark roasted almond ,115g,nestle,baby food,baby care,color: dark flavor: roasted flavor: almond, latelier ,[]
kitkat clt dessert delight kubes bx 50g,kitkat clt dessert delight kubes bx ,50g,nestle,chocolates cakes confectioneries,branded food,flavor: dessert,kitkat clt delight kubes bx ,['delight']
real frt juice alphonso mango tp 1l, frt juice alphonso mango tp ,1l,real,fruit juices drinks,beverages,flavor: juice flavor: mango flavor: alphonso, frt tp ,[]
mcvities bis digestive 5*200g,mcvities bis digestive ,5*200g,,biscuits cookies crackers,branded food,,mcvitie bi digetive ,['mcvitie']
mtr pickle avakkal 500g, pickle avakkal ,500g,mtr,pickles chutneys,branded food,flavor: pickle, avakkal ,[]
mcvities cookie butter 200g,mcvities cookie butter ,200g,,biscuits cookies crackers,branded food,flavor: butter,mcvities cookie ,"['mcvities', 'cookie']"
indulekha hair oil bringha care 100ml,indulekha oil bringha ,100ml,hair & care,hair care,beauty personal care,,indulekha oil bringha ,['oil']
clmt phenyls milky 1l, phenyls milky ,1l,clmt,fun drink mix,beverages,color: milky, phenyls ,[]
oreo crm bis assorted 600g, crm bis assorted ,600g,oreo,biscuits cookies crackers,branded food,, crm bi aorted ,[]
pediasure complete & balanced premium chocolate box 750g, complete & balanced premium chocolate box ,750g,pediasure,health drinks,beverages,type: chocolate flavor: chocolate, complete & balanced premium box ,"['complete', 'balanced', 'premium', 'box']"
mountain dew 1.5l, ,1.5l,mountain dew,baby care,baby care,, ,[]
cabbage,cabbage,,cambay tiger,otc,beauty personal care,flavor: cabbage,,[]
zorabian chicken shami kebab pp 250g, chicken shami kebab pp ,250g,zorabian,ready to eat,branded food,flavor: chicken flavor: shami, kebab pp ,['kebab']
patanjal sunflower oil pp 1l,patanjal sunflower pp ,1l,patanjali,edible oil ghee,grocery,flavor: sunflower,patanjal pp ,[]
olay skin crm total effect normal 20g, crm total effect normal ,20g,olay,skin care,beauty personal care,, crm total effect normal ,"['total', 'effect', 'normal']"
safal sweet corn 1k, sweet corn 1k,,safal,ready to eat,branded food,flavor: corn, sweet 1k,['sweet']
amul cheese gouda 250g, cheese gouda ,250g,amul,frozen veg,branded food,flavor: cheese flavor: gouda, ,[]
amul milk chocolate 40g,amul milk ,40g,chocolate,chocolates cakes confectioneries,branded food,flavor: milk,amul ,[]
milano choco chip cookies 75g, choco chip ,75g,milano,biscuits cookies crackers,branded food,flavor: choco, chip ,['chip']
everyuth natural face cln wlnt&aprct 50g, natural face cln wlnt&aprct ,50g,everyuth,skin care,beauty personal care,, natural face cln wlnt&aprct ,"['natural', 'face']"
grandos cafe gold instant coffee 50g, cafe gold instant ,50g,grandos,tea coffee,beverages,, cafe gold intant ,"['cafe', 'gold']"
london dairy ice crm mango sorbet 500m, crm mango sorbet 500m,,london dairy,ice cream desserts,branded food,flavor: mango flavor: sorbet, crm 500m,[]
ever yuth face cln walnut & apricot 100g,ever yuth face cln walnut & apricot ,100g,,skin care,beauty personal care,flavor: walnut flavor: apricot,ever yuth face cln & ,"['ever', 'face']"
oral tbrush pro helth soft 2+1 1p, tbrush pro helth soft ,2+1 1p,oral-b,oral care,beauty personal care,, tbruh pro helth oft ,"['pro', 'oft']"
typhoo green tea 50g,typhoo ,50g,green brrew,tea coffee,beverages,,typhoo ,['typhoo']
knool khol,knool khol,,kesh king,ready to fry,branded food,,knool khol,[]
banana,baa,,anandam,chocolates cakes confectioneries,branded food,,baa,['baa']
guava thailand,guava land,,real thai,fruit juices drinks,beverages,flavor: guava, land,['land']
capsicum yellow,capsicum yellow,,castello,chocolates cakes confectioneries,branded food,color: yellow flavor: capsicum, ,[]
potato 2 kg pkd,otato kd,2 kg p,,chocolates cakes confectioneries,branded food,,otato kd,[]
exo red cabbage, red cabbage,,exo,home cleaning,home hygiene,color: red flavor: cabbage, ,[]
brinjal bharta,brinjal bharta,,patanjali,otc,beauty personal care,flavor: brinjal flavor: bharta, ,[]
radish red,radish red,,cavendish & harvey,chocolates cakes confectioneries,branded food,flavor: radish color: red, ,[]
easy maxx nail polish rd181 6ml, nail polish rd ,181 6ml,easy maxx,laundry,home hygiene,, nail polih rd ,['nail']
knorr soup cup manchow veg 12g, soup cup manchow veg ,12g,knorr,ready to eat,branded food,flavor: veg flavor: soup, cup manchow ,['cup']
easy maxx manicure set, manicure set,,easy maxx,toys,toys stationery,type: manicure, set,['set']
sumeru chicken bockwrust 500g, chicken bockwrust ,500g,sumeru,frozen veg,branded food,flavor: chicken, bockwrust ,[]
ghpr masur dal pp 500g,ghpr masur dal pp ,500g,,chocolates cakes confectioneries,branded food,flavor: masur flavor: dal,ghpr pp ,[]
ghpr rajma kashmri pp 500g,ghpr rajma kashmri pp ,500g,,toys,toys stationery,flavor: rajma,ghpr kashmri pp ,[]
ghpr urad whole white pp 500g,ghpr urad whole white pp ,500g,mr.white,chocolates cakes confectioneries,branded food,flavor: urad color: white,ghpr whole pp ,['whole']
weikfield custard powder vanilla 100g, custard powder vanilla ,100g,weikfield,masala spices,grocery,flavor: custard flavor: vanilla, powder ,['powder']
kosh oats instant 1kg, oats instant ,1kg,kosh,breakfast cereals,branded food,flavor: oats, instant ,['instant']
sunkist mojito 300ml, mojito ,300ml,sunkist,chocolates cakes confectioneries,branded food,flavor: mojito, ,[]
agnesi chifferi rigati pasta 500g, chifferi rigati pasta ,500g,agnesi,noodles pastas vermicelli,branded food,flavor: pasta, chifferi rigati ,[]
himani navratna oil almond cool bx 100ml, oil almond cool bx ,100ml,himani navratna,skin care,beauty personal care,flavor: almond, oil cool bx ,"['oil', 'cool']"
weikfield bkg nd cocoapow 150g, bkg nd cocoapow ,150g,weikfield,canned tinned food,branded food,, bkg nd cocoapow ,[]
weikfield dessertmix jelly mango 90g, mix jelly mango ,90g,weikfield,baking dessert mixes,branded food,flavor: jelly flavor: mango, mix ,['mix']
"eat anytime healthy energy bar - mango ginger, 38 gm","eat anytime healthy enery bar - iner, m",38 g,three mango,chocolates cakes confectioneries,branded food,,"eat anytime healthy enery bar - iner, m","['eat', 'anytime', 'healthy', 'bar']"
odonil tlt frsh mystic rose 50g, tlt frsh mystic rose ,50g,odonil,freshners repellents,home hygiene,, tlt frh mytic roe ,['roe']
parle cookie 20 20 butter 200g, cookie 20 20 butter ,200g,parle,biscuits cookies crackers,branded food,flavor: butter, cookie 20 20 ,['cookie']
emami hair oil 7oils in one bt 200ml, oil in one bt 200ml,7oils,emami,hair care,beauty personal care,, oil in one bt 200ml,"['oil', 'one']"
lays wfr assorted 2*95g+maxx 58g op,lays wfr assorted + 58g op,2*95g,maxx,chocolates cakes confectioneries,branded food,,lay wfr aorted + 58g op,['lay']
dr.juneja s fw roop mantra cucumbr 115ml, fw roop mantra cucumbr ,115ml,dr. juneja s,otc,beauty personal care,, fw roop mantra cucumbr ,['mantra']
sofresh bagutte french, bagutte french,,sofresh,toys,toys stationery,, bagutte french,['french']
sofresh lavash whole wheat herb, lavash whole wheat herb,,sofresh,noodles pastas vermicelli,branded food,flavor: herb flavor: wheat flavor: lavash, whole ,['whole']
bhikharam chand all in one pp 200g, chand all in one pp ,200g,bhikharam chandmal,toys,toys stationery,, chand all in one pp ,"['chand', 'one']"
puretta antclc wn silicone nipple m 2pk, antclc wn silicone nipple m k,2p,puretta,soft drinks,beverages,, antclc wn ilicone nipple m k,['nipple']
"citra pimple-clear face wash, 100 g","citra pimple- face wash, ",100 g,clear,skin care,beauty personal care,,"citra pimple- face wah, ",['face']
citra facewash korean pink pearl tb 100g, facewash korean pink pearl tb ,100g,citra,skin care,beauty personal care,color: pink type: pink, facewash korean pearl tb ,"['korean', 'pearl']"
rasna powdered concentrate strawberry shakeup 250g, powdered concentrate strawberry shakeup ,250g,rasna,chocolates cakes confectioneries,branded food,flavor: strawberry type: powdered, concentrate shakeup ,['concentrate']
monin liq conc grenadine bt 250m, liq conc grenadine bt 250m,,monin,chocolates cakes confectioneries,branded food,flavor: grenadine, liq conc bt 250m,['conc']
brijnandan ni namk chnmn sam kach 400g,brijnandan ni namk chnmn sam kach ,400g,,toys,toys stationery,,brijnandan ni namk chnmn am kach ,[]
haldiram prab ni namk bhujia 1kg, prab ni namk bhujia ,1kg,haldiram s,chips namkeens snacks,branded food,, prab ni namk bhujia ,[]
premium patisa veg ghee 400g, patisa veg ,400g,premium,edible oil ghee,grocery,flavor: veg, patisa ,[]
ponds fw oil control bright frs tube 50g, fw oil control bright frs tube ,50g,ponds,skin care,beauty personal care,color: bright, fw oil control frs tube ,"['oil', 'control', 'frs', 'tube']"
clear hair oil nourshing 150m, oil nourshing 150m,,clear,hair care,beauty personal care,, oil nourhing 150m,['oil']
pooof peri peri flavored potato kettle chips 30g,pooof peri peri flavored potato kettle ,30g,pooof!,chips namkeens snacks,branded food,flavor: potato,pooof peri peri flavored kettle ,"['peri', 'peri', 'kettle']"
veeba dressing white pasta bt 285g, dressing white pasta bt ,285g,veeba,jams spreads honey,branded food,color: white flavor: pasta, dressing bt ,['dressing']
g bakers kulcha plian 250 gm, kulcha plian m,250 g,g bakers,oral care,beauty personal care,flavor: kulcha, plian m,[]
cream biscuit pineapple 4 fun,cream biscuit pineapple 4 ,,,fun drink mix,beverages,type: cream flavor: cream flavor: pineapple, biscuit 4 ,['biscuit']
tropicana juice fruits & veggies tp 200m, juice s & veggies tp 200m,,tropicana,fruit juices drinks,beverages,flavor: juice flavor: veggies, s & tp 200m,[]
nescafe flvrd mlk rtd intense cn 180ml, flvrd mlk rtd intense cn ,180ml,nescafe,tea coffee,beverages,, flvrd mlk rtd intene cn ,['rtd']
gowardhan milk topp up elaichi bt 200ml, milk topp up elaichi bt ,200ml,gowardhan,chocolates cakes confectioneries,branded food,flavor: milk type: elaichi flavor: elaichi, topp up bt ,['topp']
go cheese spread jalapeno pp 200g, cheese spread jalapeno pp ,200g,go,chips namkeens snacks,branded food,flavor: cheese flavor: jalapeno, spread pp ,['spread']
whisper san pad choice ultra wings 10p, san pad choice ultra wings ,10p,whisper,feminine care,beauty personal care,, an pad choice ultra wing ,"['pad', 'choice', 'ultra', 'wing']"
dabur lemoneez 250ml, lemoneez ,250ml,dabur,otc,beauty personal care,, lemoneez ,[]
foodex sil ladoo 150g, sil ladoo ,150g,foodex,jams spreads honey,branded food,flavor: ladoo, sil ,[]
dabur lqud conc sharbat e azam 750ml, lqud conc sharbat e azam ,750ml,dabur,otc,beauty personal care,, lqud conc harbat e azam ,"['conc', 'azam']"
fun foods sld drsng crmy pnut btr 340g,fun sld drsng crmy pnut btr ,340g,hr foods,toys,toys stationery,,fun ld drng crmy pnut btr ,"['fun', 'btr']"
fun foods spread garlic chilli dip 250g,fun spread garlic chilli dip ,250g,hr foods,sauces puree dips,branded food,flavor: chilli flavor: garlic,fun spread dip ,"['fun', 'spread', 'dip']"
crmt cotton roll bx 70g,crmt cotton roll bx ,70g,,otc,beauty personal care,flavor: cotton,crmt roll bx ,['roll']
crmt toothpick 50g,crmt toothpick ,50g,,chocolates cakes confectioneries,branded food,,crmt toothpick ,['toothpick']
