cleaned,quantity,final_brand,class1,class2
 kool strawberry shake can ,180ml,amul,ice cream desserts,branded food
waghbakri leaf box ,500g,tata tea,tea coffee,beverages
 cereal wheat honey ,300g,cerelac,baby food,baby care
 uphaar namkeen ,800g,bikano,chips namkeens snacks,branded food
 split honey marcona almond tin ,135g,borges,masala spices,grocery
 mini penne rigate durum wheat pasta ,350g,borges,noodles pastas vermicelli,branded food
 coktail mx tmt p bldy mr ,125ml,& stirred,toys,toys stationery
" chocolate, ieces",24 p,ferrero rocher,chocolates cakes confectioneries,branded food
 olive extra virgin bt ,500ml,karmiq,edible oil ghee,grocery
 squash orange ,700ml,kissan,jams spreads honey,branded food
" vedica natural mountain , ",1l,bisleri,mineral water soda,beverages
 pant diaper med ,2p,pampers,baby care,baby care
 squash mango bt ,700ml,kissan,fruit juices drinks,beverages
 candy melody chocolaty 43,391g,parle,chocolates cakes confectioneries,branded food
 jeera khatti meethi goli ,100g,patanjali,masala spices,grocery
 almond oil ,100 ml,patanjali,hair care,beauty personal care
 conditioner almond ,100g,patanjali,hair care,beauty personal care
 tpaste dant kanti regular ,100g,patanjali,toys,toys stationery
 soap neem kanti br ,75g,patanjali,skin care,beauty personal care
 toilet cleaner rose ,3*500ml,clmt,home cleaning,home hygiene
 milk elaichi bt ,200ml,verka,chocolates cakes confectioneries,branded food
 freh & thick dahi ,200 s,gowardhan,stationery,toys stationery
 gum just kidding pp 17,24.5g,tic tac,chocolates cakes confectioneries,branded food
 salmon herbs & garlic m,250g,big sams,jams spreads honey,branded food
rozana papad moong special ob pp ,400g,,ready to fry,branded food
 oft drink lemon can 250ml,7 up s,7 up,soft drinks,beverages
 hairoil 300m,,keo karpin,toys,toys stationery
 rice longgrain parmal bag ,5kg,india gate,noodles pastas vermicelli,branded food
 nylon sev namkeen ,150g,garden,chips namkeens snacks,branded food
 green chilli in barley water ,110g,nature s treat,masala spices,grocery
 buttermilk maala bt ,60g,sangi s kitchen,toys,toys stationery
 rasmol namkeen ,955g,bikano,chips namkeens snacks,branded food
 hot peanuts ,140g,borges,jams spreads honey,branded food
 silky soft coconut & olive oil soap bar ,150 g,rexona,skin care,beauty personal care
 natural milk ,1l,almond fresh,skin care,beauty personal care
 canola bt ,1l,borges,edible oil ghee,grocery
ambipur efct ext jsmn275,,air wick,freshners repellents,home hygiene
 chakki fresh atta pp ,1kg,pillsbury,flours sooji,grocery
 cks moms magc frt&milk pp ,58g,sunfeast,biscuits cookies crackers,branded food
 stevia sachets bx ,25p,organic india,otc,beauty personal care
 gel ultimate hold bt ,250ml,set wet,hair care,beauty personal care
h&s shmp menthol 2in ,1 675ml,dermi cool,skin care,beauty personal care
 kitchen roll dispenser,,beeta,home cleaning,home hygiene
 original ,300ml,schweppes,mineral water soda,beverages
 clnr disinfectant wipe 40n,,prim,home cleaning,home hygiene
 toilet seat sanitizing spray,,prim,home cleaning,home hygiene
dawat basmati rice rozana pp 5kg,90 sup,super gummy,organic grains,grocery
kellogs mueseli extra cruncy &nut ,250g,fruit,chocolates cakes confectioneries,branded food
 wheat daliya small pp ,500g,ektaa,cleaning accessories,home hygiene
 small sabudana pp ,500g,ektaa,toys,toys stationery
 falhari mix ,200g,haldiram s,chips namkeens snacks,branded food
 namk banana alted pp ,200g,haldiram s,chips namkeens snacks,branded food
,,haldiram s prabhuji,chips namkeens snacks,branded food
 weet chatpati batein p,800g g,haldiram s,chips namkeens snacks,branded food
odonil toil 3+ ,1 50g,nature fresh,freshners repellents,home hygiene
bakerstreet ck orange ctr filled pp ,37g,,chocolates cakes confectioneries,branded food
 classic ,25g,nescafe,tea coffee,beverages
 toil cln power plus rose bt ,1l,harpic,home cleaning,home hygiene
 clnr bathroom lemon bt ,500ml,harpic,home cleaning,home hygiene
kw creamy delight tub- ,750 ml,three mango,pickles chutneys,branded food
 wipes nail polish remover rose ,30p,kara,baby care,baby care
 chocopie ,336g,lotte,chocolates cakes confectioneries,branded food
 dal makhani meal ,285g,aashirvaad,ready to eat,branded food
 skin crm wso crm ,30g,vicco,toys,toys stationery
zhakhaas rice ajwain pp ,100g,vishal,chips namkeens snacks,branded food
 gard oth snk bbq sunflower ,30g,tong garden,toys,toys stationery
 veg fryum nachani mirgund ,200g,arohi,toys,toys stationery
 nail enamel red alret ,9ml,ts,otc,beauty personal care
 lastic combs combi ch k ink,2 p,ts,stationery,toys stationery
 basic round brush purple 2012k,,ts,baby care,baby care
 mid round brush blue 2012e v,,ts,cleaning accessories,home hygiene
 flvr yoghurt mango ,80g,danone,soft drinks,beverages
 sk eggs white tray ,25p,bajaj,skin care,beauty personal care
 desi bx ,1l,fresh & pure,edible oil ghee,grocery
 juice sugarcane bt ,250 ml,raw pressery,fruit juices drinks,beverages
 nmkn tikha mix pp ,900g,aakash namkeen,canned tinned food,branded food
 m pow chii pp 100g,24 l,old spice,stationery,toys stationery
exo cut corn,,baby,baby food,baby care
pineapple peeled,,,jams spreads honey,branded food
l-what sihori b,,sharbat e shahi,otc,beauty personal care
l pulao rice,,el pastor,flours sooji,grocery
 soap love&nourish shea btr ,3*125g,vivel,skin care,beauty personal care
 liquid rinse aid 400m,,finish,oral care,beauty personal care
 icecrm choco almond tb ,1l,mother dairy,chocolates cakes confectioneries,branded food
 dry milk cldcf 180m,,mother dairy,chocolates cakes confectioneries,branded food
waghbakri kadakpati box ,250g,tata tea,tea coffee,beverages
 taaza milk power pack ,200ml,amul,ice cream desserts,branded food
gh who badiyan ,100g,old spice,freshners repellents,home hygiene
amul dark ,40g,chocolate,chocolates cakes confectioneries,branded food
 bread crumb plain ,425g,american garden,jams spreads honey,branded food
 hot spicy popcorn ,297g,american garden,sauces puree dips,branded food
typhoo blackcurrant infusion box ,25pcs,fruit,tea coffee,beverages
 bread sandwich white,,sofresh,soft drinks,beverages
 bk muffins vanilla,,sofresh,chocolates cakes confectioneries,branded food
 g sld drsng 1 land 227g,000 is,american garden,jams spreads honey,branded food
amar atta wheat chakki ,10kg,premium,chocolates cakes confectioneries,branded food
 juice fstv cn gp,6*180ml,del monte,fruit juices drinks,beverages
 gulab jamun mix ,200g,mtr,baking dessert mixes,branded food
 suji upma mix ,170g,mtr,ready to eat,branded food
 lip litchi shine ,4.5g,himalaya,skin care,beauty personal care
 fw aloe cucumber bt ,50ml,himalaya,otc,beauty personal care
 bd ltn intensiv cocoa btr ,200ml,himalaya,otc,beauty personal care
 soap gntl ol&almd op,4*75g,himalaya,baby care,baby care
allout machine 45n,,super gummy,stationery,toys stationery
 taco shells ,135g,salsalito,ready to eat,branded food
 soap last frsh cucumber ,3*125g,dettol,oral care,beauty personal care
 rem sensitive ,25g,veet,hair care,beauty personal care
 kachi ghani mustard bt ,1l,mashal,edible oil ghee,grocery
gh prime who panch puran pp ,100g,old spice,stationery,toys stationery
 spread thousand island bt ,280g,veeba,jams spreads honey,branded food
 toilet rim block lemon import ,40g,domex,home cleaning,home hygiene
 oth mix chutney pow ,200g,mtr,masala spices,grocery
 fw deep clensing apricot ,100ml,himalaya,otc,beauty personal care
 3 min homestyle oats pp ,60g,mtr,ready to eat,branded food
 garlic mayonnaise ,280g,veeba,jams spreads honey,branded food
 hot do roll m,300 g,g bakers,deos perfumes,beauty personal care
 meal aloo mutter ,300g,mtr,ready to eat,branded food
 pow spice super garam ,100g,goldiee,masala spices,grocery
walkers mint toffees pp ,150g,,chocolates cakes confectioneries,branded food
 roasted & salted almonds pp ,200g,karmiq,chips namkeens snacks,branded food
 roasted & salted cashews pp ,200g,karmiq,chips namkeens snacks,branded food
 readymix butter chicken ,100g,roopak s,masala spices,grocery
 readymix dal makhani ,100g,roopak s,chocolates cakes confectioneries,branded food
 readymix hahi paneer ,100g,roopak s,toys,toys stationery
rozana papad chana chatpata pp ,400g,,ready to fry,branded food
 expert hrclr blak brwn 3,,godrej,hair care,beauty personal care
 deo nfm fresh active roll on ,50ml,nivea,deos perfumes,beauty personal care
 a+ yoghurt greek orange cup ,100g,nestle,breakfast cereals,branded food
 nutmg powder bt ,40g,sangi s kitchen,masala spices,grocery
 choco barone charge ,40g,nestle,chocolates cakes confectioneries,branded food
 infant no 4 rf ,400g,lactogen,chocolates cakes confectioneries,branded food
 ginger garlic mix bt ,42g,sangi s kitchen,jams spreads honey,branded food
 mukhwas hing tikiya ,200g,mera swad,otc,beauty personal care
 who spice kasuri methi bx ,25g,everest,masala spices,grocery
 pow spice turmeric pp ,500g,everest,masala spices,grocery
mtz chkn skh kbb h s m,500g,,toys,toys stationery
 pow spice chilli pp ,100g,catch,masala spices,grocery
crmt party disp dinner plate 2 ,5cm 5p,,stationery,toys stationery
 pav bhaji mix pp ,100g,vegit,chips namkeens snacks,branded food
gh n nut balck kismis pp ,100g,fruit,chocolates cakes confectioneries,branded food
 chocozoo chocolates ,105g,amul,ice cream desserts,branded food
amul fruit & nut 1+1 ,150g,chocolate,chocolates cakes confectioneries,branded food
 chicken & cheese ,200g,sumeru,frozen veg,branded food
ttrt digestive cream pp ,100g,chocolate,chocolates cakes confectioneries,branded food
ttrt chinesse sauce soya bt ,740ml,,sauces puree dips,branded food
 natural pp ,1kg,trust,salt sugar jaggery,grocery
 asorted gift pack ,3*1l,paper boat,fruit juices drinks,beverages
 anar tetra pack ,500ml,paper boat,fruit juices drinks,beverages
cadbury dairy milk silk assorted gift pack ,200g,chocolate,chocolates cakes confectioneries,branded food
ambipur rf air sandalwood bt ,275g,soo fresh,freshners repellents,home hygiene
 clt pouch 195.8g,50p pp,gems,otc,beauty personal care
elvir dahi dessert strawberry ,125g,,chips namkeens snacks,branded food
 mango squash ,700ml,rasna,fun drink mix,beverages
 choco sws clssc milk almonds ,100g,lindt,chocolates cakes confectioneries,branded food
 sgntr prfm gld blk musk&cdr wd bt80m,,axe,deos perfumes,beauty personal care
 superfine pp ,500g,trust,salt sugar jaggery,grocery
 mishri bx ,200g,trust,salt sugar jaggery,grocery
 barbeque bhujia ,150g,tasty treat,frozen veg,branded food
 namk malai sev pp ,200g,tasty treat,frozen veg,branded food
 brd tost suji +butr 1*200g,2*200g,tasty treat,deos perfumes,beauty personal care
ttrt roasted short cut ,400g,,noodles pastas vermicelli,branded food
 dri damae protect stylin el ,75 g,brylcreem,hair care,beauty personal care
 cappuccino ,75g,nescafe,tea coffee,beverages
 butter masti namkeen ,117g,kurkure,chips namkeens snacks,branded food
kw cornetto double ,,chocolate,chocolates cakes confectioneries,branded food
kw mini magnum combi pack 6,,,pooja needs,home hygiene
 snk masala trangels ,90g,kurkure,chips namkeens snacks,branded food
 lemon & honey green ,25pcs,twinings,tea coffee,beverages
 care x 250g,3roses,b natural,tea coffee,beverages
 mint bag ,25 pcs,dilmah,tea coffee,beverages
 mixes magic masala bx ,54g,maggi,noodles pastas vermicelli,branded food
 dessertmix cus kesar pista ,100g,tops,chocolates cakes confectioneries,branded food
 readymx shahi paneer msl bx ,100g,everest,masala spices,grocery
 tomato chilly rice puffs ,75g,piknik,noodles pastas vermicelli,branded food
 muttun meatball m,200g,meatzza,toys,toys stationery
chicken achari tikka ,250g,,ready to eat,branded food
 vanilla fills ragi bytes box ,250g,soulfull,breakfast cereals,branded food
gh idli rice 2k,,,flours sooji,grocery
gh basmati rice mini mogra bg ,5kg,,organic grains,grocery
 cheese chiplet x8 200g,25g,amul,frozen veg,branded food
 lite spread ,500g,amul,ice cream desserts,branded food
 butter milk pp ,500ml,amul,ice cream desserts,branded food
gh lazeez basmati rice pp ,5kg,,organic grains,grocery
 babycereal mixed fruit ,300g,cerelac,chocolates cakes confectioneries,branded food
 deo mate man cn ,150ml,engage,deos perfumes,beauty personal care
gh daily wh chana kabuli who ,1kg,,dry fruits,grocery
gh daily masoor dal black whole ,1kg,,organic pulses,grocery
gh daily oth pulse watana ,500g,green brrew,home cleaning,home hygiene
bournvita lil champs drink jar ,500g,health 1st,health drinks,beverages
gh daily who shahi jeera ,50g,old spice,freshners repellents,home hygiene
 uht milk taaza tp ,1l,amul,ice cream desserts,branded food
 cafe classical instant coffe ,50g,grandos,ready to eat,branded food
 crm belgin choc bx ,110ml,london dairy,ice cream desserts,branded food
raspberry sorbet ,,fevi stick,stationery,toys stationery
 crm tiramisu cup ,125ml,london dairy,ice cream desserts,branded food
 cakemx french vanilla ,520g,betty crocker,baking dessert mixes,branded food
 va mo,264 p,gala,cleaning accessories,home hygiene
 ed,9w l,urostar,chocolates cakes confectioneries,branded food
 pow spice garam pp ,50g,aachi,masala spices,grocery
 pow spice hing bt ,50g,aachi,masala spices,grocery
 readymix biryani pp ,50g,aachi,masala spices,grocery
 readymix chilli chicken pp ,100g,aachi,masala spices,grocery
fun choco lava eggless bake,,hr foods,chocolates cakes confectioneries,branded food
 candy lollipops pp ,54g,jolly rancher,chocolates cakes confectioneries,branded food
loreal cond fall repair3x anti hrfl 175m,,,hair care,beauty personal care
 rose syrup ,700ml,guruji,fun drink mix,beverages
 tbrush fighter medium,,pepsodent,oral care,beauty personal care
 food meat & rice for adult ,1.2kg,pedigree,pet care,home hygiene
 face wash oil clear ,100g,garnier,men toiletries,beauty personal care
 lal moongfali masala namkeen ,200g,foodex,chips namkeens snacks,branded food
 candy strawbery frut chew ,400g,falero,chocolates cakes confectioneries,branded food
 candy kacchi kairi ,70g,falero,chocolates cakes confectioneries,branded food
 soap deo cool ,3*100g,cinthol,deos perfumes,beauty personal care
apple kashmir,,sapphire,chocolates cakes confectioneries,branded food
sem broad bean,,ram bandhu,chips namkeens snacks,branded food
sweet corn pkd,,sunsweet,ready to eat,branded food
brinjal long ,,green brrew,tea coffee,beverages
mutton shami,,uttam,toys,toys stationery
 flat bread white,,sofresh,mineral water soda,beverages
 bar cake date & walnut,,sofresh,chocolates cakes confectioneries,branded food
 choc butter tofes collection ,325g,arcor,chocolates cakes confectioneries,branded food
 anticolic feedingbottle9oz ,270ml,puretta,toys,toys stationery
 feedingbowl w spoon&antiskidbase,,puretta,toys,toys stationery
haldiram namkeen combi ,450g,diet,chips namkeens snacks,branded food
 ni namk navratan mix 200g,150g,haldiram s,chocolates cakes confectioneries,branded food
 white eggs ack,10 p,hen fruit,chocolates cakes confectioneries,branded food
 rava dosa mix pp ,200g,desi atta company,baking dessert mixes,branded food
 rozana gold plus basmati rice ,1kg,daawat,organic grains,grocery
 kabhi khata meetha 6 gp,40.50g,haldiram s,chips namkeens snacks,branded food
sofy san pad bodyfit pp ,8p,regular,feminine care,beauty personal care
 moong chilka ,500g,mother earth,ready to fry,branded food
 chilli surprise instant pop corn ,30g,act ii,chips namkeens snacks,branded food
 kabuli chana ,500g,mother earth,chips namkeens snacks,branded food
 poha ,500g,mother earth,chips namkeens snacks,branded food
 day wonderfulls choconut,,good look,freshners repellents,home hygiene
 drink can ,330ml,coca cola,soft drinks,beverages
 bread garlic,,bonn,sauces puree dips,branded food
 bread multigrain pp ,200g,bonn,chips namkeens snacks,branded food
gh prime who gundu chili bore ,50g,old spice,frozen veg,branded food
gh prime basmati pp ,500g,brown & polson,rice wheat other grains,grocery
gh gren peas pp ,500g,golden harvest prime,frozen veg,branded food
no s anti crm brand yellow ,25g,p mark,baby care,baby care
 avalakki mixture ,90g,mtr,ready to eat,branded food
 barcake fig and honey eggless,,garys,chocolates cakes confectioneries,branded food
 pow spice turmeric ,100g,goldiee,skin care,beauty personal care
 adult jumbone pp ,200g,pedigree,pet care,home hygiene
 ghee jar.,500ml,aachi,masala spices,grocery
 si mix veg bryn rice paste pt ,100g,aachi,masala spices,grocery
 pow spice chilli pp ,500g,aachi,masala spices,grocery
 juice berry punch bt ,750ml,sunkist,fruit juices drinks,beverages
 roasted flax seeds pp ,200g,karmiq,noodles pastas vermicelli,branded food
 papad moong punjabi pp ,400g,vishal,ready to fry,branded food
 liq con squash fruit bt ,700ml,kissan,fun drink mix,beverages
 eye liner brown ,4 ml,temper,skin care,beauty personal care
 peri peri garlic ,150g,wingreens,sauces puree dips,branded food
 compund asafoepwdr ,50g,swastik,toys,toys stationery
 nail and foot filer combi pa42109,,ts,skin care,beauty personal care
 jaljeera maala bt ,45g,sangi s kitchen,toys,toys stationery
sangis ktcn honey mstrd drsng bt ,200g,,toys,toys stationery
nesplus fillows pp ,500g,chocolate,chocolates cakes confectioneries,branded food
 oatmeal digestive pp ,150g,unibic,biscuits cookies crackers,branded food
krachi biscuit pista m,400g,green brrew,chocolates cakes confectioneries,branded food
 triple choco brownie ,425g,betty crocker,frozen veg,branded food
l parimal rice,,super gummy,stationery,toys stationery
l-basmati har roj rice,,,organic grains,grocery
 inst pasta mushroom pazzta pp ,64g,maggi,noodles pastas vermicelli,branded food
 soap double strengh ,100g,savlon,skin care,beauty personal care
 light soya sauce ,200ml,blue elephant,sauces puree dips,branded food
 bk bar cakes date and walnut,,sofresh,chips namkeens snacks,branded food
 bk khari wholewheat,,sofresh,toys,toys stationery
lizol flor cln + pwr op,500ml,harpic,home cleaning,home hygiene
 khatta mitha pp ,1kg,haldiram mopleez,chips namkeens snacks,branded food
 weaning bottle w spoon 9oz ,270ml,puretta,toys,toys stationery
 mint mayonnaise ,300g,veeba,jams spreads honey,branded food
 vinaigrette dressing ,320g,veeba,jams spreads honey,branded food
" rice idli mix, ",200g,mtr,breakfast cereals,branded food
 tpast sparkling white ,2*150g,himalaya,otc,beauty personal care
 deo perfumed ruler spray cn ,150ml,he,deos perfumes,beauty personal care
 deo respect can ,150ml,he,deos perfumes,beauty personal care
 mango flavoured milk ,180ml,nilgiris,chocolates cakes confectioneries,branded food
 latte xpress ,25g,nescafe,tea coffee,beverages
gh urad dal gundu prem 1k,,,chocolates cakes confectioneries,branded food
 cow pp ,500ml,heritage,edible oil ghee,grocery
 cheese cheddar block 1k,,britannia,biscuits cookies crackers,branded food
 rusk milk crunchy pp ,200g,britannia,biscuits cookies crackers,branded food
 wc milk choco mlkshake bt 200m,,britannia,biscuits cookies crackers,branded food
nature choice dry flav p,300g g,fruit,chocolates cakes confectioneries,branded food
 san pad bodyfit extra long ,3*15p,sofy,feminine care,beauty personal care
 namkeen khatta metha ,400g,babaji,chips namkeens snacks,branded food
pooof kettle chilli cheese pp ,30g,pooof!,chips namkeens snacks,branded food
 choc dark espresso ,80g,heidi,chocolates cakes confectioneries,branded food
 bleach insta glow herbal bx m,54g,vlcc,skin care,beauty personal care
 soap green anti oxid ,4*100g,vivel,tea coffee,beverages
healtht cold pressed must bt 500ml,1s,,edible oil ghee,grocery
ttrt digestive bisc pp ,2*100g,,biscuits cookies crackers,branded food
ttrt juice medley bt ,1l,three mango,fruit juices drinks,beverages
ttrt juice aam panna drink bt ,1l,fruit,fruit juices drinks,beverages
 fw bio honey gel hydratng ,100ml,biotique,skin care,beauty personal care
 scissor sl-1173 7.3 inch,,kangaro,stationery,toys stationery
ttrt cooking pasta chifferi pp ,1kg,,noodles pastas vermicelli,branded food
ttrt sweets besan til ladoo bx ,340g,,stationery,toys stationery
ttrt soan papdi ,500g,,chocolates cakes confectioneries,branded food
 rm frs floral bouquet ref+machin,,odonil,freshners repellents,home hygiene
 apple can ,250ml,appy fizz,mineral water soda,beverages
 apple ,1.5l,appy fizz,mineral water soda,beverages
 chick salami lain ack,250g p,yummiez,toys,toys stationery
 good yumez punjb chckn tkka pp ,350g,real,freshners repellents,home hygiene
 readymix biryani bx ,100g,eastern,masala spices,grocery
 lassi mango flav cup ,165ml,danone,mineral water soda,beverages
 yoghrt greek mango ,80g,danone,soft drinks,beverages
ld vanilla cup 125m,,premium,chocolates cakes confectioneries,branded food
 aloe lemonade ,250 ml,raw pressery,organic sugar jaggery salt,grocery
f&p bowl with tea prem 500g op,4p,sugar free,salt sugar jaggery,grocery
 choco cashew ,36g,choki choki,chocolates cakes confectioneries,branded food
 shav foam sport rglr aloevera 300m,,laser,skin care,beauty personal care
 gard oth snk peanuts salted can,150g,tong garden,chips namkeens snacks,branded food
kokam raj liq conc awala ,1l,sharbat e shahi,otc,beauty personal care
 mueeli & fibre mixed jar ,1kg,bagrry s,fruit juices drinks,beverages
nestle crunchiest munch x ,4 23g,chocolate,chocolates cakes confectioneries,branded food
nestle kitkat bag ,128g,chocolate,chocolates cakes confectioneries,branded food
 deo fresh ocean cn ,150ml,nivea,deos perfumes,beauty personal care
 expert hrclr natural brwn 4,,godrej,hair care,beauty personal care
 fw all in 1 whitning efect men ,50g,nivea,deos perfumes,beauty personal care
 ic feast chocobar ,70ml,kwality walls,ice cream desserts,branded food
kw feast raspberry zap ,65ml,,chocolates cakes confectioneries,branded food
 namk nut astd op,3*75g,kurkure,chips namkeens snacks,branded food
 dairy whitener ,200g,amulya,ice cream desserts,branded food
 basilico pasta sauce ,400g,borges,sauces puree dips,branded food
 penne rigate durum wheat pasta ,500g,borges,noodles pastas vermicelli,branded food
 dairy whitener ,200g,amulya,ice cream desserts,branded food
ttrt salted biscuits ,200g,,masala spices,grocery
- besan ,500g,p mark,toys,toys stationery
on t roasted garlic&pink grindr 65g,1y sal,,otc,beauty personal care
 deo spray dive ,150ml,cinthol,deos perfumes,beauty personal care
 red capsicum,,exo,home cleaning,home hygiene
iceberg,,emborg,chocolates cakes confectioneries,branded food
kachri,,karachi,chocolates cakes confectioneries,branded food
sharda melon,,leonardo,chocolates cakes confectioneries,branded food
tomato hybrid,,,sauces puree dips,branded food
 sanitrypad ultra wing ,8p,whisper,feminine care,beauty personal care
fun mayonnaise veg eggless ,275g,hr foods,jams spreads honey,branded food
loreal hrclr black 1,,lovely bakery,skin care,beauty personal care
 khus syrup ,700ml,guruji,fun drink mix,beverages
 pudina hara lemon fizz ,6*5g,dabur,otc,beauty personal care
 food chicken & milk for puppy ,1.2kg,pedigree,pet care,home hygiene
crmt nakin * ly 50 ,33 2 p,paper boat,fruit juices drinks,beverages
 o h&e nawabi kaju jalwa bx ,200g,kitchens of india,toys,toys stationery
 soyabean pp ,1l,mahakosh,edible oil ghee,grocery
 spirali pasta ,500g,del monte,noodles pastas vermicelli,branded food
 farfalle pasta ,500g,del monte,noodles pastas vermicelli,branded food
ghpr lapsi daliya ,500g,big sams,chocolates cakes confectioneries,branded food
 yumm krr noodle pp ,80g,too yumm!,masala spices,grocery
 nail polish rd ,104 6ml,easy maxx,laundry,home hygiene
 nail polish rd ,143 6ml,easy maxx,laundry,home hygiene
 veg soup hot & sour ,11g,knorr,ready to eat,branded food
liril lime rush soap bar ,75 g,liril!,skin care,beauty personal care
 diamond attraction power white el toothpaste ,50 g,closeup,oral care,beauty personal care
 prime time white slice,,bonn,frozen veg,branded food
 yumm vge stix cheese & herbs pp ,30g,too yumm!,chips namkeens snacks,branded food
 readymix sabji bx ,50g,badshah,flours sooji,grocery
 pow spice jeera bx ,50g,badshah,chips namkeens snacks,branded food
j&j lotion bedtime bt ,200ml,baby,baby care,baby care
kw creamydeightsvania tr,1.2 l,,toys,toys stationery
 crm delight pineapple ,750ml,kwality walls,ice cream desserts,branded food
cream biscuit 4 fun ,,chocolate,biscuits cookies crackers,branded food
 choco cashew biscuit bx ,100g,nilgiris,chocolates cakes confectioneries,branded food
 talc renew sweat cantrol bt ,250g,candid,toys,toys stationery
intl choco ki cookie&crm ,297g,hershey s,otc,beauty personal care
imported decaffeinated powder ,100g,nescafe,tea coffee,beverages
imported cranberry & blood orange ,20pcs,twinings,tea coffee,beverages
 fresh splash coolin mint & sea minerals soap bar ,54 g,lux,skin care,beauty personal care
suji rusk,,premium,noodles pastas vermicelli,branded food
 moong whole green ,500g,mother earth,pickles chutneys,branded food
 gd 3+1 chocochip ,4*100g,britannia,biscuits cookies crackers,branded food
 chicken chese&onion sausages ,300g,venkys,ready to eat,branded food
mapro candy alphonso mango ,70g,falero,baking dessert mixes,branded food
 deo secet cush wottagil ,135ml,layer r wottagirl!,deos perfumes,beauty personal care
 nutrichoice digestive ,75g,britannia,biscuits cookies crackers,branded food
 cream sachet ,3ml,livon,hair care,beauty personal care
goodknight adv cartridge twin pk,,real activ,freshners repellents,home hygiene
 vinegar plain bt ,180ml,tops,masala spices,grocery
 frozen chickn seekh kebab ,500g,delicious,ready to fry,branded food
 shmp daily moist repair bt ,180ml,pantene,hair care,beauty personal care
 punernava-toner cum astringent 100m,,vlcc,skin care,beauty personal care
huggie pant large- girl ,26 s,premium,otc,beauty personal care
 cheese cheddar ,250g,kraft,baking dessert mixes,branded food
 bd lt cell renew fortfy+repr ,250ml,vivel,toys,toys stationery
 namkeen goldy ,400g,bikaji,chips namkeens snacks,branded food
 lemon green bag bx ,24pp,marvel,tea coffee,beverages
 oil jasmine ,200ml,parachute,hair care,beauty personal care
 yellow banana ,100g,garden,chips namkeens snacks,branded food
 shie cellulose spoge mop,,wipe n shine,cleaning accessories,home hygiene
onion pkd,,nilon s,otc,beauty personal care
water melon namdhari,,,fruit juices drinks,beverages
apple fuji,,appy fizz,mineral water soda,beverages
pear nakh,,nirapara,toys,toys stationery
tinda,,tilda,chocolates cakes confectioneries,branded food
colocasia,,choostix,chocolates cakes confectioneries,branded food
plum imported,,blue bird,baking dessert mixes,branded food
tomato pkd,,prosmart,sauces puree dips,branded food
mushroom button,,schoko bons,toys,toys stationery
chk salami,,charmis,toys,toys stationery
 deo pure game 150m,,adidas,deos perfumes,beauty personal care
date dry fruits kheneizi pp ,500g,crown,chocolates cakes confectioneries,branded food
 antclc wn silicone nipple f k,2p,puretta,otc,beauty personal care
 bby cr laundrydetergent bt ,500ml,puretta,toys,toys stationery
shinghara fillt,,sharbat e shahi,otc,beauty personal care
mutton shoulder,,head & shoulders,home cleaning,home hygiene
 green olive sliced ,450g,american garden,pickles chutneys,branded food
 deo stick woman swirl ,40g,cinthol,deos perfumes,beauty personal care
 lemon in olive oil pickle ,300g,soul,pickles chutneys,branded food
 pickle mango ,400g,soul,pickles chutneys,branded food
healtht cold pressed gnut bt 500ml,1s,,edible oil ghee,grocery
 wax polish express black 7m,,kiwi,home cleaning,home hygiene
 deo spray wild ,125ml,eva,deos perfumes,beauty personal care
 green chilli pickle ,500g,tasty treat,pickles chutneys,branded food
 popcorn jalepeno pp ,35g,tasty treat,chocolates cakes confectioneries,branded food
 popcorn clasic cheese pp ,35g,tasty treat,frozen veg,branded food
ttrt wfr bis ,3*75g,,toys,toys stationery
 condom wet n wild ,12p,kamasutra,toys,toys stationery
 ginger bags ,25p,taj mahal,tea coffee,beverages
ttrt jam stawberry ,200g,,jams spreads honey,branded food
 soup sweet corn chicken ,42g,knorr,ready to eat,branded food
fair & lov crm winter fairness ,25g,think skin,skin care,beauty personal care
 paratha - onion ,400g,sumeru,frozen veg,branded food
 yumm foxnuts homestyle pp ,23g,too yumm!,toys,toys stationery
 bread sandwich special,,bonn,breakfast cereals,branded food
gh prime who bg sauf ,100g,old spice,stationery,toys stationery
gh prime who cardamom bg ,100g,old spice,freshners repellents,home hygiene
 digestive orange ,100g,eno,biscuits cookies crackers,branded food
 flavoritz red paprika jr ,40g,tata,salt sugar jaggery,grocery
natures chat ajwain & pudina papad ,140g,tasty treat,masala spices,grocery
 ginger garlic ,200g,hommade,cooking paste,grocery
 mix mukhwas,,green brrew,masala spices,grocery
 natural juice apple ,320ml,mogu mogu,fruit juices drinks,beverages
 ice lemon&mint green pp ,400g,lipton,tea coffee,beverages
 expert protection complete toothpaste ,70 g,pepsodent,oral care,beauty personal care
 shm ub recious herb bt 17ml,5 p,garnier,skin care,beauty personal care
 readymix tamarind rice pp ,50g,aachi,masala spices,grocery
 masala oats lemony twist pp ,39g,saffola,breakfast cereals,branded food
fun vinegar spicy bt ,190g,hr foods,mineral water soda,beverages
 gol mathi ,200g,foodex,chips namkeens snacks,branded food
fructis conditioner long&strong ,90ml,,hair care,beauty personal care
 sanitarypad dry max ult thn ,16p,stayfree,feminine care,beauty personal care
 meat & rice for adult dog ,3 kg,pedigree,pet care,home hygiene
