article_name,quantity,brand,function,type-flavour-colour,misc
pocket comb floral,,comfort,laundry | home hygiene,flavor:floral,"pocket,comb,floral"
clear anti hair fall anti dandruff shampoo 80 ml,80 ml,clear,hair care | beauty personal care,type:shampoo,"anti,fall,anti,dandruff,shampoo"
gm food moong bhajiya flour pp 400g,400g,food bazaar,masala spices | grocery,flavor:moong flavor:flour,flour
gm food dymix aloo sabji masala bx 100g,100g,food bazaar,masala spices | grocery,flavor:sabji flavor:aloo,
gm foods msl mix alo partha atta pp 500g,500g,gm foods,chocolates cakes confectioneries | branded food,,"mix,atta"
gm foods dal makhani masala bx 100g,100g,gm foods,masala spices | grocery,flavor:makhani flavor:dal,dal
veeba spread sandwch pizza slice bt 310g,310g,veeba,sauces puree dips | branded food,flavor:pizza,"spread,pizza,slice"
mtr 3 min khata meetha poha bx 230g,3 m,mtr,ready to eat | branded food,flavor:poha,
pooof kettle chips tangy chipotle pp 65g,65g,pooof!,chips namkeens snacks | branded food,flavor:tangy flavor:chipotle,"kettle,tangy"
sofit soya milk mango 200ml,200ml,sofit,chocolates cakes confectioneries | branded food,flavor:soya flavor:milk flavor:mango,"soya,milk,mango"
marvel tea masala bx 250gg,250gg,marvel,tea coffee | beverages,,
gh poha makai 500g,500g,golden harvest,chocolates cakes confectioneries | branded food,flavor:poha,
wrigleys spearmint chewing gum 5p 13g,5p 13g,wrigleys,chocolates cakes confectioneries | branded food,flavor:spearmint,"chewing,gum"
aashirvaad select sharbati atta pp 1kg,1kg,aashirvaad,flours sooji | grocery,,"elect,atta"
aashirvaad salt pp 1kg,1kg,aashirvaad,flours sooji | grocery,,alt
organic tattva coriander whole jr 70g,70g,organic tattva,organic spices | grocery,flavor:coriander,"coriander,whole"
huggies diapers dry small 10p,10p,huggies,baby care | baby care,type:diapers,"diapers,dry,small"
axe signature champion body perfume 122 ml,122 ml,axe signature,deos perfumes | beauty personal care,type:perfume,"champion,body,perfume"
patanjali mixed fruit jam 500g,500g,patanjali,jams spreads honey | branded food,flavor:fruit,"mixed,fruit,jam"
iodex ointment bt 16g,16g,iodex,chocolates cakes confectioneries | branded food,,ointment
patanjali sc anti wrinkle cream bx 50g,50g,patanjali,hair care | beauty personal care,flavor:cream type:cream,"anti,wrinkle,cream"
patanjali fc aloevera multani mitti 60ml,60ml,patanjali,skin care | beauty personal care,flavor:mitti,
harvest gold bread hearty brown,,harvest gold,masala spices | grocery,flavor:bread color:brown,"bread,hearty,brown"
watermelon flavour stick,,fevi stick,stationery | toys stationery,flavor:watermelon,"watermelon,flavour"
streax hair clr tlc ntl blk mini bx 30m,30m,streax,hair care | beauty personal care,,"clr,tlc,mini"
think skin body wash aqua 250ml,250ml,think skin,skin care | beauty personal care,type:wash color:aqua,"body,wash,aqua"
caremate handwash neem tulsi pp 900ml,900ml,caremate,skin care | beauty personal care,type:neem type:handwash,
ammas special coconut chutney 180g,180g,ammas,masala spices | grocery,flavor:chutney flavor:coconut,"special,coconut,chutney"
wagh bakri tea premix ginger box 10*14g,10*14g,wagh bakri,tea coffee | beverages,flavor:ginger,"ginger,box"
waghbakri dust tea 1kg,1kg,wagh bakri,tea coffee | beverages,,
waghbakri assam tea 50g,50g,wagh bakri,tea coffee | beverages,flavor:assam,assam
gh who spice lonvla kokam 100g,100g,old spice,freshners repellents | home hygiene,,
gh kismis black 100g,100g,golden harvest,organic flours | grocery,color:black,black
amul mystic mocha chocolate 150g,150g,chocolate,chocolates cakes confectioneries | branded food,flavor:mocha,"mystic,mocha"
cerelac bbycereal rice vgtbl s2 300g,2 300g,cerelac,rice wheat other grains | grocery,,
id special kerala parota,,id,toys | toys stationery,,kerala
danone milk chocolate milk shk tp 180ml,180ml,chocolate,chocolates cakes confectioneries | branded food,flavor:milk,"milk,milk"
danone dahi pasteurised toned 400g,400g,danone,toys | toys stationery,flavor:dahi,"pasteurised,toned"
epigamia yogurt jalapen barley puff 105g,105g,epigamia,toys | toys stationery,type:yogurt flavor:barley flavor:yogurt,"yogurt,barley,puff"
epigamia yogurt vanilla bean cup 90gm,90gm,epigamia,mineral water soda | beverages,type:yogurt flavor:vanilla flavor:yogurt flavor:bean,"yogurt,vanilla,bean,cup"
chana dal premium 2kg,2kg,premium,noodles pastas vermicelli | branded food,flavor:chana flavor:dal,dal
raw pressery juice lean 250 ml,250 ml,raw pressery,fruit juices drinks | beverages,flavor:juice,"juice,lean"
24 lm chana dal pp 500g,24 lm,,masala spices | grocery,flavor:chana flavor:dal,dal
24 lm tur dal pp 500g,24 lm,,chocolates cakes confectioneries | branded food,flavor:dal flavor:tur,"tur,dal"
jalaram khakhra mobile chat masala 180g,180g,jalaram foods,masala spices | grocery,,"mobile,chat"
tang lemon 125g,125g,tang,fruit juices drinks | beverages,flavor:lemon,lemon
puretta cleansing baby wipes pp 20p,20p,puretta,baby care | baby care,,"cleaning,wipe"
ponds age miracle intensive cell regen serum 30 ml,30 ml,ponds,skin care | beauty personal care,,"age,miracle,cell"
flying bird kashmiri kesar essence 20ml,20ml,flying bird,masala spices | grocery,flavor:kesar,"kashmiri,essence"
flying bird pineapple essence 20ml,20ml,flying bird,masala spices | grocery,flavor:pineapple,"pineapple,essence"
flying bird vanilla essence 20ml,20ml,flying bird,masala spices | grocery,flavor:vanilla,"vanilla,essence"
paseo smart servietes napkin 100s 1 ply,100s,paseo,toys | toys stationery,type:napkin,"smart,napkin,ply"
pillsbury cheesecake chocolate 165g,165g,pillsbury,baking dessert mixes | branded food,flavor:cheesecake flavor:chocolate type:chocolate,"cheesecake,chocolate"
cadbury dairy milk silk chocolate bar 150g,150g,chocolate,chocolates cakes confectioneries | branded food,flavor:dairy flavor:milk type:silk,"cadbury,dairy,milk,silk,bar"
wheel det bar active blue rs5 115g,5 115g,active wheel,skin care | beauty personal care,color:blue,"det,bar,blue"
tata tetly ginger mint lemon tea bag 10pcs,10pcs,tata tea,tea coffee | beverages,flavor:ginger flavor:lemon type:bag flavor:mint,"ginger,mint,lemon,bag"
borges pitted green olive 285g,285g,borges,pickles chutneys | branded food,flavor:olive color:olive color:green,"pitted,green,olive"
bikano matar masala namkeen 200g,200g,bikano,chips namkeens snacks | branded food,flavor:namkeen flavor:matar,masala
parachute coconut oil jar 1l,1l,parachute,hair care | beauty personal care,flavor:coconut,"coconut,oil,jar"
cadbury 5 star chocolate 4*42g,5 s,chocolate,chocolates cakes confectioneries | branded food,,"cadbury,tar"
hsy milkshk chocolate 200 ml.,200 ml,chocolate,chocolates cakes confectioneries | branded food,,
twinnings spclty tea flv eng bft 25p,25p,tata tea,tea coffee | beverages,,"twinning,eng"
salted biscuit ranch crackers,,,biscuits cookies crackers | branded food,,ranch
he deo perfumed arctic spray cn 122ml,122ml,he,deos perfumes | beauty personal care,,"deo,perfumed,arctic,pray"
he perfumed body spray innovator bt 150m,150m,he,deos perfumes | beauty personal care,,"perfumed,body,pray,innovator"
harpic toil cln hygienic citrus pp 26g,26g,harpic,home cleaning | home hygiene,type:hygienic flavor:citrus,"toil,hygienic,citrus"
surf dtlq excel matic frontload bt 1.02l,1.02l,surf excel,laundry | home hygiene,,matic
no1 snk wasabi green peas tin 180g,1 s,no1,canned tinned food | branded food,flavor:pea color:green,"green,pea,tin"
radish with leaves,,cavendish & harvey,chocolates cakes confectioneries | branded food,flavor:radish,"radish,leaves"
chings ndl singapore curry pp 240g,240g,chings secret,ready to eat | branded food,flavor:curry,"singapore,curry"
rasna nimbu pani fruit concentrate 125g,125g,rasna,fun drink mix | beverages,flavor:nimbu flavor:fruit,"fruit,concentrate"
rasna orange powder concentrate 500g,500g,rasna,jams spreads honey | branded food,flavor:orange color:orange,"orange,powder,concentrate"
smint mint flavour gum 6.4g,6.4g,smint,chocolates cakes confectioneries | branded food,flavor:mint,"mint,flavour,gum"
brown & polson cornflour 100g,100g,brown & polson,baking dessert mixes | branded food,flavor:cornflour,cornflour
natures treat bharwa lal mirch pickle 125g,125g,natures treat,pickles chutneys | branded food,flavor:mirch flavor:pickle,"lal,pickle"
natures treat garlic & red chilli papad 140g,140g,natures treat,ready to fry | branded food,flavor:chilli color:red flavor:garlic flavor:papad,"garlic,red,chilli"
natures treat aloo jeera papad 140g,140g,natures treat,ready to fry | branded food,flavor:jeera flavor:papad flavor:aloo,
secret temptation deo passion 150m,150m,secret temptation,deos perfumes | beauty personal care,,deo
nestle a+ yoghurt greek mango cup 100g,100g,nestle,baby food | baby care,flavor:mango flavor:yoghurt type:yoghurt,"yoghurt,greek,mango,cup"
blue bird badam pista instant china grass dessert mix 100g,100g,blue bird,baking dessert mixes | branded food,flavor:pista flavor:badam,"instant,china,grass,mix"
blue bird vanilla custard powder 100g,100g,blue bird,baking dessert mixes | branded food,flavor:vanilla flavor:custard,"vanilla,custard,powder"
blue bird alphonso mango ice cream dessert mix 100g,100g,blue bird,baking dessert mixes | branded food,type:cream flavor:cream flavor:alphonso flavor:mango,"alphonso,mango,ice,cream,mix"
shakti basic pooja set nandadeep,,shakti,toys | toys stationery,,
go cheese slice 100 gm,100 gm,go,sauces puree dips | branded food,flavor:cheese,"cheese,slice"
m&ms candy choco pp 45g,45g,m&ms,chocolates cakes confectioneries | branded food,flavor:candy flavor:choco,candy
j&j baby cream 50g,50g,baby,baby care | baby care,flavor:cream type:cream,cream
desi atta nachniragi atta pp 500g,500g,desi atta company,ready to eat | branded food,,
colgate tbrush super flexi med,,colgate,oral care | beauty personal care,,"flexi,med"
kelloggs cornflakes honey crunch 300g,300g,kelloggs,breakfast cereals | branded food,type:honey flavor:honey,"cornflakes,honey,crunch"
minute maid juice anar tetra pack 1l,1l,minute maid,fruit juices drinks | beverages,flavor:juice,"juice,tetra,pack"
dove oxygen moisture shampoo 80 ml,80 ml,dove,hair care | beauty personal care,type:shampoo,"oxygen,moisture,shampoo"
smith & jo ginger garlic paste pp 200g,200g,jo,cooking paste | grocery,flavor:ginger flavor:garlic,"smith,ginger,garlic"
himami talc navratna cool activ deo 400g,400g,himani navratna,deos perfumes | beauty personal care,type:talc,"talc,cool,deo"
weikfield sauce soya 200g,200g,weikfield,sauces puree dips | branded food,flavor:soya flavor:sauce,"sauce,soya"
homemade capsico red pepper sauce 60g,60g,red bull,sauces puree dips | branded food,flavor:pepper flavor:sauce,"homemade,pepper,sauce"
aquafina water 1l,1l,aquafina,mineral water soda | beverages,,
appy juice gift pack 6*160ml,6*160m,appy,fruit juices drinks | beverages,flavor:juice,"juice,gift,pack"
gillette cartridge fusion 2p,2p,gillette,men toiletries | beauty personal care,,cartridge
candyman toffichoo strawberry candy 310g,310g,candyman,chocolates cakes confectioneries | branded food,flavor:candy flavor:strawberry,"strawberry,candy"
lazer razor stroke 1p+cartridges 5p,1p,lazer,stationery | toys stationery,,razor
chupa chups bubble gum lollipop pp 12g,12g,chupa chups,chocolates cakes confectioneries | branded food,,"bubble,gum,lollipop"
anzac oatmeal cookies 75g,75g,unibic,biscuits cookies crackers | branded food,flavor:oatmeal,"anzac,oatmeal"
sunfeast bourbon bliss biscuit 120g,120g,sunfeast,biscuits cookies crackers | branded food,,bourbon
head & sho cond smooth & silky 170ml,170ml,,hair care | beauty personal care,,head
organic india tulsi lemon tea bag 18pcs,18pcs,organic india,salt sugar jaggery | grocery,flavor:lemon type:bag,"lemon,tea,bag"
shan pulao biryani masala bx 50g,50g,shan,masala spices | grocery,flavor:biryani flavor:pulao,
haribo the smurf chamallows marshmallows 175g,175g,haribo,toys | toys stationery,color:smurf flavor:marshmallows,marshmallows
wild stone deo steel bx 120ml,120ml,wild stone,deos perfumes | beauty personal care,,deo
del monte mayonnaise thick&creamy 900g,900g,del monte,jams spreads honey | branded food,type:mayonnaise flavor:mayonnaise,mayonnaise
fruittella candy strawberry stick 36g,36g,fruittella,chocolates cakes confectioneries | branded food,flavor:candy flavor:strawberry,"candy,strawberry,stick"
wheafree gluten free jeera bsct pp 200g,200g,wheafree,noodles pastas vermicelli | branded food,flavor:jeera,"gluten,free"
wheafree gf khatai biscuits pp 200g,200g,wheafree,chocolates cakes confectioneries | branded food,,
trident gum cinnamon bar 18p,18p,trident,breakfast cereals | branded food,flavor:cinnamon,"gum,cinnamon,bar"
"bagrrys fruit & fibre muesli, mixed fruit 400g",400g,bagrrys,breakfast cereals | branded food,flavor:fruit,"fruit,fibre,mixed,fruit"
nivea deo men protect&care 150ml,150ml,nivea,deos perfumes | beauty personal care,,"deo,men"
loreal hrclr gloss black shade 200,,loreal paris,hair care | beauty personal care,color:black,"gloss,black,shade,200"
surf det pow excel matic front load 1kg,1kg,surf excel,laundry | home hygiene,,"det,pow,matic,front,load"
lazer razor stroke 1p+cartridges 5p,1p,lazer,stationery | toys stationery,,razor
rasna fruit con utsav orange 2*32g op,2*32g,rasna,fruit juices drinks | beverages,flavor:orange color:orange,"con,orange"
rasna utsav kool khus powder concentrate 32 glasses,32 gl,rasna,masala spices | grocery,type:khus flavor:khus,"powder,concentrate,asses"
mawana select sugar caster bx 500g,500g,mawana,salt sugar jaggery | grocery,,"elect,cater"
krachi biscuit fruit 250gm,250gm,fruit,chocolates cakes confectioneries | branded food,,
ragu sauce pizza homemade style 397g,397g,ragu,sauces puree dips | branded food,flavor:pizza flavor:sauce,"sauce,pizza,homemade,style"
sunfeast crm bisc bourbon 3+1 150g op,1 150g,sunfeast,biscuits cookies crackers | branded food,,"bic,bourbon"
mera swad mukhwas jeera goli 220g,220g,mera swad,baking dessert mixes | branded food,flavor:jeera,
veg affaire diced coconut kernel pp 100g,100g,veg affaire,chocolates cakes confectioneries | branded food,flavor:coconut,"diced,coconut,kernel"
garnier shmp ub heena&blkbry bt 180ml,180ml,garnier,skin care | beauty personal care,,
loreal shmp fall repair3x anti hrfl 75m,75m,loreal paris,hair care | beauty personal care,,"fall,anti"
funfoods mayonnaise green mint jr 275g,275g,funfoods,jams spreads honey | branded food,type:mayonnaise flavor:mint flavor:mayonnaise color:green,"mayonnaise,green,mint"
nilons ginger garlic paste 1+1 100g,1 100g,nilons,cooking paste | grocery,flavor:ginger flavor:garlic,"ginger,garlic"
baker street sesame bread sticks 100g,100g,baker street,frozen veg | branded food,flavor:bread flavor:sesame,"sesame,bread,sticks"
parle cookies hide & seek choco rolls pp 75g,75g,parle,biscuits cookies crackers | branded food,flavor:choco,"hide,seek,rolls"
nilons sauce snack glass bottle 200g,200g,nilons,sauces puree dips | branded food,flavor:sauce,"sauce,snack,glass,bottle"
nivea body ltn extra whitening bt 200ml,200ml,nivea,skin care | beauty personal care,type:whitening,"body,extra,whitening"
nivea skin crm soft moisturising 50m,50m,nivea,skin care | beauty personal care,,oft
fiama di wills soap exotic dream 3*125g,3*125g,fiama di wills,skin care | beauty personal care,type:soap,"soap,exotic,dream"
blue bird raspberry jelly dessert mix 100g,100g,blue bird,baking dessert mixes | branded food,flavor:raspberry flavor:jelly,"raspberry,jelly,mix"
dabur pudina hara lemon fizz 6*5g,6*5g,dabur,otc | beauty personal care,flavor:lemon flavor:pudina,"lemon,fizz"
sofresh bar cake plum,,sofresh,chocolates cakes confectioneries | branded food,,"bar,cake,plum"
figaro ext virgin olive oil tn 500ml,500ml,figaro,edible oil ghee | grocery,color:olive flavor:olive,"ext,virgin,olive"
puretta baby feeding spoon 2p,2p,puretta,baby care | baby care,,feeding
24 lm cardamom pp 50g,24 lm,,otc | beauty personal care,flavor:cardamom,cardamom
24 lm who spice clove pp 50g,24 lm,old spice,freshners repellents | home hygiene,flavor:clove,clove
ts plastic combs combi ch pk6,,ts,stationery | toys stationery,,comb
cadbury choco celebration prm 286.3g gp,286.3g,cadbury,chocolates cakes confectioneries | branded food,flavor:choco,celebration
remia sprd mayonnaise 250m,250m,remia,jams spreads honey | branded food,type:mayonnaise flavor:mayonnaise,mayonnaise
mtr 3 min khata meetha poha pp 60g,3 m,mtr,ready to eat | branded food,flavor:poha,
g bakers muffins vanilla 50 gm,50 gm,g bakers,chocolates cakes confectioneries | branded food,flavor:vanilla flavor:muffins,"muffins,vanilla"
dhampure icing sugar 1000g,1000g,dhampure,salt sugar jaggery | grocery,,icing
sunkist strawberry jam 250g,250g,sunkist,jams spreads honey | branded food,flavor:strawberry,"strawberry,jam"
b natural litchi luscious juice 1l,1l,b natural,fruit juices drinks | beverages,flavor:juice flavor:luscious flavor:litchi,"luscious,juice"
mccains fries smiles 415g + cgpb 200g,415g,mccains,chocolates cakes confectioneries | branded food,flavor:fries,"fries,smiles"
pears pure & gentle shower gel 250 ml,250 ml,pears,skin care | beauty personal care,type:gel type:shower,"pure,gentle,shower,gel"
nivea dark spot reduction creme men 30ml,30ml,nivea,skin care | beauty personal care,color:dark,"dark,spot,reduction,creme,men"
nivea skin cream 60m,60m,nivea,skin care | beauty personal care,flavor:cream type:cream,cream
blue bird chocolate instant china grass dessert mix 100g,100g,blue bird,baking dessert mixes | branded food,flavor:chocolate type:chocolate,"chocolate,instant,china,grass,mix"
ice breakers green apple mint sours 12g,12g,ice breakers,soft drinks | beverages,flavor:mint flavor:apple color:green,"green,apple,mint,sours"
cadbury perk glucose chocolate 13g,13g,chocolate,chocolates cakes confectioneries | branded food,,"cadbury,perk"
wheel det pow act lmn & org 1kg,1kg,wheel,chocolates cakes confectioneries | branded food,,"det,pow,act,org"
wheel det powder act cln & frsh pp 500g,500g,wheel,chips namkeens snacks | branded food,,"det,powder,act"
ambipur car lavender spa refill 7.5m,7.5m,ambi pur,freshners repellents | home hygiene,color:lavender type:spa flavor:lavender,"car,lavender,spa,refill"
cadbury chocolate celebrations 63.3g,63.3g,celebrations,chocolates cakes confectioneries | branded food,flavor:chocolate type:chocolate,"cadbury,chocolate"
nilons preserve tamarind chutney 70g,70g,nilons,jams spreads honey | branded food,flavor:chutney flavor:tamarind,"preserve,tamarind,chutney"
yan yan cream biscuit strawberry 50g,50g,yan yan,chocolates cakes confectioneries | branded food,flavor:cream type:cream flavor:strawberry,"cream,biscuit,strawberry"
patanjali amrit rasayan jar 1kg,1kg,patanjali,otc | beauty personal care,,jar
nilons vinegar chopstic bottle 725g,725g,nilons,masala spices | grocery,type:vinegar flavor:vinegar,"vinegar,bottle"
hsy milkshk creamncookie 200 ml,200 ml,,toys | toys stationery,,
nilgiris table butter 100g,100g,nilgiris,jams spreads honey | branded food,flavor:butter,"table,butter"
waffy rolls strawberry,,,chocolates cakes confectioneries | branded food,flavor:strawberry,"rolls,strawberry"
salted biscuit cheesy crackers,,,chips namkeens snacks | branded food,,cracker
rite bite mery bery 35gm,35gm,ritebite,breakfast cereals | branded food,,"rite,bite"
danone sweet lassi 200ml,200ml,danone,ready to eat | branded food,flavor:lassi,sweet
ts hairpin plain bob pins po 50,,ts,toys | toys stationery,,"hairpin,plain,bob,pin"
shan readymix shami kebab 50g,50g,shan,toys | toys stationery,flavor:shami,kebab
jabsons snk peanuts chlly grlc 130g150g,130g,jabsons ,chips namkeens snacks | branded food,flavor:peanut,peanut
trident gum tropical twist bar 14p,14p,trident,chocolates cakes confectioneries | branded food,,"gum,tropical,twit,bar"
lemon grass,,san remo,noodles pastas vermicelli | branded food,flavor:lemon,"lemon,grass"
pomegranate kabul,,americana,soft drinks | beverages,flavor:pomegranate,"pomegranate,kabul"
lettuce arugula,,gillette,men toiletries | beauty personal care,flavor:arugula flavor:lettuce,lettuce
bigger six grain stix smokey bbq,,,toys | toys stationery,flavor:grain,"bigger,six,grain,smokey"
gh sugar 5kg,5kg,sugar free,salt sugar jaggery | grocery,,
amul cheese tn 400g,400g,amul,frozen veg | branded food,flavor:cheese,cheese
amul masti buttermilk tp 200ml,200ml,amul,ice cream desserts | branded food,type:buttermilk flavor:buttermilk,buttermilk
gh pani puri masala jr 75g,75g,golden harvest,masala spices | grocery,flavor:puri,puri
psp kalyan hawan samagri bx 200g,200g,psp kalyan,toys | toys stationery,,
ram bandhu pickle lime chilli jr 350g,350g,ram bandhu,pickles chutneys | branded food,flavor:chilli flavor:pickle flavor:lime,"pickle,lime,chilli"
mothers recipe stuffed red chilli pickle 400g,400g,mothers recipe,pickles chutneys | branded food,flavor:chilli flavor:pickle color:red,"stuffed,red,chilli,pickle"
salsalito tortilla nachos chips cheese 150g,150g,salsalito,chips namkeens snacks | branded food,flavor:tortilla flavor:cheese,"tortilla,nachos,cheese"
sweekar sunflower oil jr 15l,15l,sweekar,edible oil ghee | grocery,flavor:sunflower,sunflower
tasty treat toasted butter bread 63g,63g,tasty treat,frozen veg | branded food,flavor:bread flavor:butter,"toasted,butter,bread"
tasty treat jam mix fruit 200g,200g,tasty treat,jams spreads honey | branded food,flavor:fruit,"jam,mix,fruit"
tasty treat ni namk khakhra masala 180g,180g,tasty treat,masala spices | grocery,,
ttrt salted biscuits plain salted 200g,200g,tasty treat,frozen veg | branded food,,plain
sifti desi ghee jr 1l,1l,sifti,edible oil ghee | grocery,,dei
on1y tropical heat grinder bt 40g,40g,only,masala spices | grocery,,"tropical,heat,grinder"
on1y black pepper&pink grinder 80g,1y bl,only,home cleaning | home hygiene,,"ack,grinder"
on1y salt grinder bt 100g,1y sal,only,home cleaning | home hygiene,,grinder
rozana papad moong punjabi ob pp 400g,400g,,ready to fry | branded food,flavor:moong flavor:papad,punjabi
rasna assorted drink mix 1.419 kg,419 kg,rasna,fun drink mix | beverages,,
lindt chocolate extra dark 85 100g,5 100g,chocolate,chocolates cakes confectioneries | branded food,color:dark,"extra,dark"
chings secret hot garlic noodles 60g,60g,chings secret,noodles pastas vermicelli | branded food,flavor:garlic color:hot,"hot,garlic"
cesar pomace olive oil bt 1l,1l,cesar,edible oil ghee | grocery,flavor:olive color:olive flavor:pomace,olive
mamypoko pants bby diaper lrg size 20p,20p,mamypoko,baby care | baby care,type:pants type:diaper,"pants,diaper,size"
haldiram prb hpy mom prm sonppdi 900g gp,900g g,haldiram mopleez,chips namkeens snacks | branded food,,"prb,mom"
crmt paper nap 33*33 2 ply 50 p prnt 2pk,33 2 p,paper boat,fruit juices drinks | beverages,,
mashal kachi ghani mustard oil pp 1l,1l,mashal,edible oil ghee | grocery,flavor:mustard,"ghani,mustard"
rambandhu pickle mixed bt 200g,200g,ram bandhu,pickles chutneys | branded food,flavor:pickle,"pickle,mixed"
palmolive hw foaming raspberry bt 250ml,250ml,palmolive,skin care | beauty personal care,flavor:raspberry,"foaming,raspberry"
mallefillet,,maybelline,skin care | beauty personal care,,
mutton chops,,uncle chipps,toys | toys stationery,flavor:mutton,"mutton,chops"
soul red chilli in olive oil pickle 300g,300g,soul,pickles chutneys | branded food,flavor:chilli flavor:pickle color:red color:olive flavor:olive,"red,chilli,olive,oil,pickle"
imported toblerone dark chocolate 100g,100g,toblerone,chocolates cakes confectioneries | branded food,flavor:chocolate color:dark type:chocolate,"imported,dark,chocolate"
american garden natural pizza sauce 397g,397g,american garden,sauces puree dips | branded food,flavor:pizza flavor:sauce,"natural,pizza,sauce"
american g sauce worcestshire bt 295m,295m,american garden,sauces puree dips | branded food,flavor:sauce,sauce
cinthol talc cool sport 300g,300g,cinthol,skin care | beauty personal care,type:talc,"talc,cool,sport"
"sundrop peanut butter honey roast crunchy, 200g",200g,sundrop,jams spreads honey | branded food,flavor:butter flavor:roast flavor:peanut,"peanut,butter,roast"
schweppes indian tonic water 300ml,300ml,schweppes,mineral water soda | beverages,,"indian,tonic"
prabhat dahi 400 ml,400 ml,prabhat,chocolates cakes confectioneries | branded food,flavor:dahi,
l moong dhuli,,london dairy,ice cream desserts | branded food,flavor:moong,
drumstick cut,,trust,soft drinks | beverages,,cut
betki fish whole,,,ready to eat | branded food,flavor:fish,"fish,whole"
l mini mogra rice,,organic india,organic grains | grocery,flavor:rice,"mini,rice"
l rajma chitra,,himalaya,baby care | baby care,flavor:rajma flavor:chitra,
basil,,ariel,laundry | home hygiene,flavor:basil,basil
beans french pkd,,fishermans friend,toys | toys stationery,flavor:beans,"beans,french"
pomegranate arils,,americana,soft drinks | beverages,flavor:pomegranate flavor:arils,pomegranate
brocoli florts,,comfort,laundry | home hygiene,,
soul dipping sauces sizzly aam bt 260g,260g,soul,frozen veg | branded food,flavor:sauces,"dipping,sauces"
groundnut roasted 500g,500g,,jams spreads honey | branded food,flavor:roasted flavor:groundnut,"groundnut,roasted"
american g sld dr ceasar 227g,227g,american garden,jams spreads honey | branded food,,
knorr chinese hot & spicy noodles 4 pack 272g,4 p,knorr,ready to eat | branded food,flavor:noodles color:hot,"chinese,hot,noodles,ack"
"knorr to cook chinese schezwan ready mix, 46g",46g,knorr,ready to eat | branded food,,cook
thumbs up 2l,2l,thums up,chocolates cakes confectioneries | branded food,,thumb
thumbs up can 300ml,300ml,7 up,soft drinks | beverages,,thumb
bonn bread atta wholewheat,,bonn,breakfast cereals | branded food,flavor:bread flavor:wholewheat,"bread,atta,wholewheat"
gh prime who spice grn crdm 50g,50g,old spice,stationery | toys stationery,,prime
gh prime chana red pp 1kg,1kg,red bull,frozen veg | branded food,flavor:chana,prime
gh prime masoor whole pp 500g,500g,golden harvest,frozen veg | branded food,flavor:masoor,"prime,whole"
nivea sc creme men 75ml,75ml,nivea,skin care | beauty personal care,,"creme,men"
nestle munch maha trio 18g,18g,nestle,baby food | baby care,,"munch,maha,trio"
nivea shwr gel for men cool kick 250m,250m,nivea,deos perfumes | beauty personal care,type:gel,"gel,men,cool,kick"
vlcc hrclr henna 2*100g,2*100g,vlcc,skin care | beauty personal care,type:henna,henna
desi atta masala chakli mix pp 500g,500g,desi atta company,masala spices | grocery,,mix
kellogs cornflake choco moon & stars 140g,140g,,chocolates cakes confectioneries | branded food,flavor:cornflake flavor:choco,"cornflake,moon,stars"
ile de france cheese petit brie bx 125g,125g,ile,noodles pastas vermicelli | branded food,flavor:brie flavor:cheese,"france,cheese,petit,brie"
ektaa soya mini chunks bx 200g,200g,ektaa,chocolates cakes confectioneries | branded food,flavor:soya,"soya,mini,chunks"
haldiram thandai 750m,750m,haldiram mopleez,chocolates cakes confectioneries | branded food,,
j&j baby soap 3+1 150g op,1 150g,baby,baby care | baby care,type:soap,soap
"haldiram soan papdi cow ghee, 400g",400g,haldirams,chocolates cakes confectioneries | branded food,,"oan,cow"
gh fruit n nut kismis indian 200g,200g,fruit,chocolates cakes confectioneries | branded food,,"nut,indian"
gh daily tur dal split prem 1kg,1kg,golden harvest,organic flours | grocery,flavor:dal flavor:tur,"daily,tur,dal,split,prem"
gh daily oth pulse watana white 500g,500g,mr.white,home cleaning | home hygiene,color:white,"daily,oth,pulse,white"
airwick room frsn spray velvet rose 249m,249m,air wick,freshners repellents | home hygiene,color:velvet,"room,spray,velvet,rose"
gh daily who spice tamarind 200g,200g,old spice,freshners repellents | home hygiene,flavor:tamarind,"daily,tamarind"
amul uht milk gold 1l,1l,amul,ice cream desserts | branded food,flavor:milk,"milk,gold"
clear shmp active care antidandruff 170m,170m,clear,skin care | beauty personal care,type:antidandruff,active
premium soan papdi 400g,400g,premium,chocolates cakes confectioneries | branded food,,oan
mothers rec preserve paste tmrind 200g,200g,mothers recipe,pickles chutneys | branded food,,"rec,pate"
7 o clock razor ready ii 1p,7 o cl,,ready to eat | branded food,,
glucovita bolts orange 18g,18g,glucovita,fun drink mix | beverages,flavor:orange color:orange,"bolts,orange"
nilons ginger garlic paste pp 200g,200g,nilons,cooking paste | grocery,flavor:ginger flavor:garlic,"ginger,garlic"
nilons preserve ginger paste 1+1 200g,1 200g,nilons,jams spreads honey | branded food,flavor:ginger,"preserve,ginger,paste"
baker street garlic herb toast 200g,200g,baker street,sauces puree dips | branded food,flavor:garlic flavor:herb,"garlic,herb,toast"
parle bis top crackers 200g,200g,parle,biscuits cookies crackers | branded food,,top
cop unbrand atta 10kg,10kg,desi atta company,ready to eat | branded food,,cop
quaker oats tomato vegie surprise pp 40g,40g,quaker,breakfast cereals | branded food,flavor:vegie flavor:oats flavor:tomato,"oats,tomato,surprise"
