cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
chicken nugget ,500g,nature s choice,pet care,home hygiene,chicken, nugget ,['nugget']
pooof kettle combo pck ,4*30g,pooof!,chips namkeens snacks,branded food,,pooof kettle combo pck ,"['kettle', 'combo']"
 gold 5 ,0 tabs,sugar free,salt sugar jaggery,grocery,, gold 5 ,['gold']
 white rose essence ,20ml,flying bird,masala spices,grocery,white, rose essence ,"['rose', 'essence']"
 monaco biscuit ,40g,parle,biscuits cookies crackers,branded food,, monaco biscuit ,"['monaco', 'biscuit']"
 tomato ketchup ,500g,patanjali,sauces puree dips,branded food,ketchup tomato, ,[]
lays crispz herb & onion ,57 g,,chips namkeens snacks,branded food,onion herb,lays crispz & ,['lays']
 bread sandwich,,harvest gold,tea coffee,beverages,bread sandwich, ,[]
 jal jira r,150g,jalani,mineral water soda,beverages,, jal jira r,['jal']
 ,,layer r shot,dry fruits,grocery,, ,[]
 lipgloss blood red,,temper,otc,beauty personal care,lipgloss red, blood ,['blood']
 gentle & soft deep pore cleanser ,60 ml,lakme,skin care,beauty personal care,, gentle & soft deep pore cleanser ,"['gentle', 'soft', 'deep', 'pore', 'cleanser']"
 sgntr gld italn brgmt&ambr wd bt 80m,,axe,deos perfumes,beauty personal care,, sgntr gld italn brgmt&ambr wd bt 80m,[]
 talc sweet sweet ,100g,eva,deos perfumes,beauty personal care,, talc sweet sweet ,"['talc', 'sweet', 'sweet']"
 milk full cream pp ,500ml,verka,chocolates cakes confectioneries,branded food,cream milk, full pp ,['full']
 cheese spread plain pp ,200g,go,chocolates cakes confectioneries,branded food,cheese, spread plain pp ,"['spread', 'plain']"
 no dust broom,,gala,cleaning accessories,home hygiene,, no dust broom,"['dust', 'broom']"
 blueberry pp ,150g,rostaa,chips namkeens snacks,branded food,blueberry, pp ,[]
 chipotle southwest dressing ,300g,veeba,jams spreads honey,branded food,chipotle, southwest dressing ,"['southwest', 'dressing']"
mcvities biscuit digestive 4+ 00g,1 100g,,biscuits cookies crackers,branded food,,mcvities biscuit digestive 4+ 00g,"['mcvities', 'biscuit', 'digestive']"
 spread & dip garlic chilli bt ,335g,veeba,jams spreads honey,branded food,garlic chilli, spread & dip bt ,"['spread', 'dip']"
 snk nacho sweet chilli pp ,75g,doritos,sauces puree dips,branded food,chilli nacho, snk sweet pp ,['sweet']
 cookies - jeera ajwain m,300 g,g bakers,masala spices,grocery,cookies ajwain jeera, - m,[]
 nj detox tp ,200ml,sunkist,toys,toys stationery,, nj detox tp ,['detox']
 deep action red hot el toothpaste ,26 g,closeup,oral care,beauty personal care,red, deep action hot el toothpaste ,"['deep', 'action', 'hot', 'toothpaste']"
mix ,,veg affaire,baking dessert mixes,branded food,,mix ,['mix']
chk tikka sausage,,,toys,toys stationery,sausage tikka,chk ,[]
l- kabuli,,bauli,chocolates cakes confectioneries,branded food,kabuli,l- ,[]
 shmp anti dandruff 2 in 80ml,1 180ml,pantene,hair care,beauty personal care,, shmp anti dandruff 2 in 80ml,"['anti', 'dandruff']"
 comb cellulose acetate no 32a,,ts,toys,toys stationery,, comb cellulose acetate no 32a,"['comb', 'cellulose', 'acetate']"
 oats strawberry apple ,40g,quaker,breakfast cereals,branded food,oats strawberry apple, ,[]
 kchi ghni mustrd pp ,1l,fresh & pure,edible oil ghee,grocery,, kchi ghni mustrd pp ,[]
 active orange juice ,1l,real,fruit juices drinks,beverages,orange juice, active ,['active']
ever yuth face clnsr orng pel vitlsr ,50g,,skin care,beauty personal care,,ever yuth face clnsr orng pel vitlsr ,"['ever', 'face']"
 cow pp tr,1 l,panchamrut,edible oil ghee,grocery,, cow pp tr,['cow']
 tikoni mathi namkeen ,200g,foodex,toys,toys stationery,namkeen, tikoni mathi ,[]
 digestive tonic ,200ml,zandu pancharishta,biscuits cookies crackers,branded food,, digestive tonic ,"['digestive', 'tonic']"
 oats masala chinese ,28g,saffola,breakfast cereals,branded food,oats, masala chinese ,"['masala', 'chinese']"
 soap ,100g,hamam,skin care,beauty personal care,, soap ,['soap']
 pow spice black pepper pp ,50g,aachi,masala spices,grocery,pepper black, pow spice pp ,"['pow', 'spice']"
 kesari jivan m,450g,zandu,chocolates cakes confectioneries,branded food,, kesari jivan m,[]
 baket pata cheey alfredo ,220g,chef s basket,otc,beauty personal care,pata alfredo, baket cheey ,[]
 baket pata penne pp ,500g,chef s basket,noodles pastas vermicelli,branded food,pata penne, baket pp ,[]
 baket pata fuilli pp ,500g,chef s basket,otc,beauty personal care,pata, baket fuilli pp ,[]
 tb kids 5+barbie ext soft ,1p,colgate,oral care,beauty personal care,, tb kids 5+barbie ext soft ,"['kids', 'ext', 'soft']"
 soap sens ,75g,dove,skin care,beauty personal care,, soap sens ,"['soap', 'sens']"
 glass clnr ultra shine pump 500m,,colin,home cleaning,home hygiene,, glass clnr ultra shine pump 500m,"['glass', 'ultra', 'shine', 'pump']"
 shmp split treatment ,180ml,dabur vatika,otc,beauty personal care,, shmp split treatment ,"['split', 'treatment']"
hld banana chps tngy tom ,200g,,chips namkeens snacks,branded food,banana,hld chps tngy tom ,['tom']
 tal makhana pp ,200g,ektaa,toys,toys stationery,, tal makhana pp ,['tal']
 glass cleaner trg reg op,3*500ml,colin,home cleaning,home hygiene,, glass cleaner trg reg op,"['glass', 'cleaner', 'reg']"
ttrt butter cookies op,5*60g,,chocolates cakes confectioneries,branded food,cookies butter,ttrt op,[]
ttrt nachos sizzling jalapeno pp ,60g,,chips namkeens snacks,branded food,jalapeno,ttrt nachos sizzling pp ,"['nachos', 'sizzling']"
ttrt momos sauce bt ,500g,,sauces puree dips,branded food,momos sauce,ttrt bt ,[]
dilbahar mix mukhwa,,dilbarhar s,otc,beauty personal care,,dilbahar mix mukhwa,['mix']
 gold pattian pp ,250g,marvel,tea coffee,beverages,, gold pattian pp ,['gold']
sundrop pnt btr crunchy jr ,924g,regular,ready to fry,branded food,crunchy,sundrop pnt btr jr ,['btr']
 desi ghee tp ,1l,amul,ice cream desserts,branded food,ghee, desi tp ,['desi']
gh daily sabudana small ,500g,,home cleaning,home hygiene,,gh daily sabudana small ,"['daily', 'small']"
 shav gel ultra comfort tube ,60g,gillette,men toiletries,beauty personal care,, shav gel ultra comfort tube ,"['gel', 'ultra', 'comfort', 'tube']"
 disp razor sport ,3 1p,laser,men toiletries,beauty personal care,, disp razor sport ,"['razor', 'sport']"
 fryum wheat kurdai ,200g,arohi,frozen veg,branded food,wheat, fryum kurdai ,[]
chiko butter tops caramel ,800g,chocolate,chocolates cakes confectioneries,branded food,butter caramel,chiko tops ,['tops']
 pow spice white pepper bx ,100g,everest,masala spices,grocery,pepper white, pow spice bx ,"['pow', 'spice']"
 kool mango milk ,200ml,amul,ice cream desserts,branded food,milk mango, kool ,[]
 kool banana shake ,180ml,amul,frozen veg,branded food,banana, kool shake ,['shake']
 paneer fresh pp ,200g,amul,frozen veg,branded food,paneer, fresh pp ,['fresh']
zwan turkey luncheon meat cn ,200g,frozen,frozen veg,branded food,meat turkey,zwan luncheon cn ,['luncheon']
gh n nut almd+cashew+kisms op,300g,fruit,chocolates cakes confectioneries,branded food,,gh n nut almd+cashew+kisms op,['nut']
amul rejoice ,295g,chocolate,chocolates cakes confectioneries,branded food,,amul rejoice ,['rejoice']
amul rejoice assorted pack,,chocolate,chocolates cakes confectioneries,branded food,,amul rejoice assorted pack,"['rejoice', 'assorted', 'pack']"
 yumm veggie stix rstd garlic pp ,60g,too yumm!,toys,toys stationery,garlic veggie, yumm stix rstd pp ,[]
 seerfish - prime ,500g,sumeru,frozen veg,branded food,, seerfish - prime ,['prime']
 sweet chilli with lime & hurb m,40g,the grannary,chips namkeens snacks,branded food,chilli lime, sweet with & hurb m,['sweet']
liril oap oft aloevera lemon 125g,2000 s,liril!,skin care,beauty personal care,lemon,liril oap oft aloevera 125g,"['oap', 'oft']"
ghpr tur dal pp ,500g,,chocolates cakes confectioneries,branded food,tur dal,ghpr pp ,[]
 det pow easy wash 95g,90g,surf excel,laundry,home hygiene,, det pow easy wash 95g,"['det', 'pow', 'easy', 'wash']"
 ecret dark oy auce ,90g,ching s secret,noodles pastas vermicelli,branded food,dark, ecret oy auce ,[]
 nk party nack 28g,1 s,no1,stationery,toys stationery,, nk party nack 28g,['party']
 det pow easy wash pp ,1kg,surf excel,laundry,home hygiene,, det pow easy wash pp ,"['det', 'pow', 'easy', 'wash']"
munchys wfr bis lexus choco crm ,150g,,chocolates cakes confectioneries,branded food,choco,munchys wfr bis lexus crm ,"['bis', 'lexus']"
cleanmate toil cln + crmt hw 250ml op,1l,,toys,toys stationery,,cleanmate toil cln + crmt hw 250ml op,['toil']
 can veg hot&sweet relish bt ,340g,neo,pickles chutneys,branded food,veg, can hot&sweet relish bt ,['relish']
 dog food lamb stik flav pp ,450g,choostix,pet care,home hygiene,lamb, dog food stik flav pp ,"['dog', 'food', 'flav']"
 thbrsh chota bheem flash bp ,1p,aquawhite,toys,toys stationery,, thbrsh chota bheem flash bp ,['flash']
 lemon lozenge ,25g,fisherman s friend,otc,beauty personal care,lemon, lozenge ,['lozenge']
 pure & entle bathin bar ,50 g,pears,skin care,beauty personal care,, pure & entle bathin bar ,"['pure', 'bar']"
 dark chocolate with orange ,100g,delaviuda,chocolates cakes confectioneries,branded food,chocolate dark orange, with ,[]
 choco tar home treat 200g 11,5 s,cadbury,chocolates cakes confectioneries,branded food,choco, tar home treat 200g 11,"['tar', 'home', 'treat']"
paperboat lychee juice ,200ml,,fruit juices drinks,beverages,lychee juice,paperboat ,[]
 lemon squash ,700ml,rasna,fun drink mix,beverages,squash lemon, ,[]
 ecret chilly vinegar ,170ml,ching s secret,sauces puree dips,branded food,vinegar, ecret chilly ,['chilly']
 native hattshikanji pp ,200g,rasna,chocolates cakes confectioneries,branded food,, native hattshikanji pp ,['native']
abbies peanut butter crunchy 1 ,2 340g,,jams spreads honey,branded food,peanut butter crunchy,abbies 1 ,[]
chings oth mix mnchurin mrcl msl ,50g,,ready to eat,branded food,,chings oth mix mnchurin mrcl msl ,"['oth', 'mix', 'msl']"
 choco sws clssc dark hazelnut ,100g,lindt,chocolates cakes confectioneries,branded food,hazelnut dark choco, sws clssc ,[]
 candy white xylit sugarfree ,6g,happydent,chocolates cakes confectioneries,branded food,white candy, xylit sugarfree ,[]
sunfeast & vanilla cream biscuit ,120g,chocolate,biscuits cookies crackers,branded food,cream vanilla,sunfeast & biscuit ,['biscuit']
 sauce classic alfredo ,454g,ragu,sauces puree dips,branded food,alfredo sauce, classic ,['classic']
 snacky classic salted ,64g,sunfeast,biscuits cookies crackers,branded food,, snacky classic salted ,"['classic', 'salted']"
head sho shmp anti fall ,80ml,hair & care,hair care,beauty personal care,,head sho shmp anti fall ,"['head', 'sho', 'anti', 'fall']"
nilons ginger ,200g,,cooking paste,grocery,ginger,nilons ,[]
 doodh poly pack ,100g,patanjali,biscuits cookies crackers,branded food,, doodh poly pack ,"['poly', 'pack']"
nilons assorted pickle op,6*100g,,pickles chutneys,branded food,pickle,nilons assorted op,['assorted']
nilons pineapple squash ,700ml,,fun drink mix,beverages,pineapple squash,nilons ,[]
nilons moong papad ,160g,,ready to fry,branded food,moong papad,nilons ,[]
kelloggs oats heart to heart ,200g,,breakfast cereals,branded food,oats,kelloggs heart to heart ,"['kelloggs', 'heart', 'heart']"
"sapphire magic roll, , ",100g,chocolate,chocolates cakes confectioneries,branded food,,"sapphire magic roll, , ","['sapphire', 'magic']"
kelloggs chocos variety pack ,6*27g,,stationery,toys stationery,,kelloggs chocos variety pack ,"['kelloggs', 'variety', 'pack']"
 mustard kasundi sauce ,250g,ektaa,sauces puree dips,branded food,mustard sauce, kasundi ,[]
 readymix kesari milk msl bt ,10g,badshah,chocolates cakes confectioneries,branded food,milk, readymix kesari msl bt ,['msl']
 gentle exfoliating body wash ,190 ml,dove,skin care,beauty personal care,, gentle exfoliating body wash ,"['gentle', 'body', 'wash']"
 ndl super masala ,70g,top ramen,noodles pastas vermicelli,branded food,, ndl super masala ,"['super', 'masala']"
 tmp bdy wsh purifying bt ,300ml,swiss tempelle,chocolates cakes confectioneries,branded food,, tmp bdy wsh purifying bt ,"['tmp', 'purifying']"
 candies pop caraml&strawb ,40g,alpenliebe,chocolates cakes confectioneries,branded food,candies, pop caraml&strawb ,['pop']
 papad punjabi masala ,200g,lijjat,ready to fry,branded food,papad, punjabi masala ,"['punjabi', 'masala']"
 papad red chillies ,200g,lijjat,ready to fry,branded food,chillies red papad, ,[]
 sweet lassi pouch,200ml,verka,chips namkeens snacks,branded food,lassi pouch, sweet ,['sweet']
 noodle prawn flavour ,85g,koka,noodles pastas vermicelli,branded food,prawn, noodle flavour ,"['noodle', 'flavour']"
 cheese shredded mexican m,150 g,go,chips namkeens snacks,branded food,cheese, shredded mexican m,"['shredded', 'mexican']"
 orane chedder cheese m block,200 g,go,otc,beauty personal care,cheese, orane chedder m block,['block']
 milk gold pp ,500ml,gowardhan,chocolates cakes confectioneries,branded food,milk, gold pp ,['gold']
 36 oral dream deo 150ml,005 fl,adidas,deos perfumes,beauty personal care,, 36 oral dream deo 150ml,"['oral', 'dream', 'deo']"
 skn crm am dly spf15 day cream 30m,,ponds,skin care,beauty personal care,cream, skn crm am dly spf15 day 30m,['day']
 fc sun dullness removal scrub ,50g,ponds,skin care,beauty personal care,, fc sun dullness removal scrub ,"['sun', 'dullness', 'removal', 'scrub']"
 ob oily skin ,120ml,lacto calamine,hair care,beauty personal care,, ob oily skin ,"['oily', 'skin']"
 rice jeera papad ,75g,mother s recipe,ready to fry,branded food,rice jeera papad, ,[]
 shav foam sensitive ,418g,gillette,men toiletries,beauty personal care,, shav foam sensitive ,"['foam', 'sensitive']"
 hand sanitizer original ,50ml,dettol,personal hygiene,beauty personal care,, hand sanitizer original ,"['hand', 'original']"
 flax seeds jr ,140g,organic tattva,organic grains,grocery,seeds, flax jr ,['flax']
 suji pp ,500g,organic tattva,organic pulses,grocery,suji, pp ,[]
 namkeen lemon bhel ,180g,garden,chips namkeens snacks,branded food,lemon bhel namkeen, ,[]
 bread hot dog roll,,english oven,pet care,home hygiene,bread, hot dog roll,"['hot', 'dog', 'roll']"
 buns big seeded,,english oven,chocolates cakes confectioneries,branded food,, buns big seeded,"['buns', 'big', 'seeded']"
 sunflower jr ,15l,gemini,edible oil ghee,grocery,sunflower, jr ,[]
- jet scrubber brush,,scotch brite,cleaning accessories,home hygiene,,- jet scrubber brush,"['jet', 'scrubber', 'brush']"
 elaichi ginger masala ,12*14g,wagh bakri,tea coffee,beverages,ginger elaichi, masala ,['masala']
 kool badam milk shake ,180ml,amul,ice cream desserts,branded food,milk badam, kool shake ,['shake']
waghbakri englsh breakfast bg m,50g,tata tea,tea coffee,beverages,,waghbakri englsh breakfast bg m,['breakfast']
amulspray infant ,500g,food bazaar,masala spices,grocery,,amulspray infant ,['infant']
amul nuts block ,80g,chocolate,chocolates cakes confectioneries,branded food,nuts,amul block ,['block']
amul fruit & nut ,35g,chocolate,chocolates cakes confectioneries,branded food,fruit,amul & nut ,['nut']
amul sugarfree mint ,150g,chocolate,chocolates cakes confectioneries,branded food,mint,amul sugarfree ,[]
 babycereal apple cherry ,300g,cerelac,mineral water soda,beverages,apple cherry, babycereal ,[]
gh dry n nut almond pp ,100g,fruit,chocolates cakes confectioneries,branded food,almond,gh dry n nut pp ,"['dry', 'nut']"
gh california walnut whole pp ,500g,,dry fruits,grocery,walnut,gh california whole pp ,"['california', 'whole']"
gh who ajwain ,50g,old spice,freshners repellents,home hygiene,ajwain,gh who ,[]
gh daily who yellw mustard ,100g,old spice,freshners repellents,home hygiene,mustard,gh daily who yellw ,['daily']
gh daily bajra standard ,1kg,,health drinks,beverages,bajra,gh daily standard ,"['daily', 'standard']"
 shrikhand mango tub ,500g,amul,ice cream desserts,branded food,mango, shrikhand tub ,['tub']
 cheese spread pepper ,200g,amul,ice cream desserts,branded food,cheese pepper, spread ,['spread']
gh jaljeera masala jr ,75g,,breakfast cereals,branded food,,gh jaljeera masala jr ,['masala']
hershesy chocolate pomegranate ,33.3g,brookside,chocolates cakes confectioneries,branded food,chocolate pomegranate,hershesy ,[]
 cheese & herbs kettle ,50g,inox muchos,chips namkeens snacks,branded food,cheese herbs, & kettle ,['kettle']
 full cream milk pp ,500ml,mother dairy,chocolates cakes confectioneries,branded food,cream milk, full pp ,['full']
 chi cocktail sausage m,500g,meatzza,toys,toys stationery,sausage, chi cocktail m,"['chi', 'cocktail']"
mutton liver,,livon,hair care,beauty personal care,mutton, liver,['liver']
chk lollipop,,olicoop,chocolates cakes confectioneries,branded food,,chk lollipop,['lollipop']
 soap lime ,3*125g,cinthol,skin care,beauty personal care,lime, soap ,['soap']
 pasta traditional sauce ,397g,american garden,sauces puree dips,branded food,sauce pasta, traditional ,['traditional']
 cfl f,11w hp,osram,toys,toys stationery,, cfl f,[]
 shmp full on volume bt ,400ml,bblunt,freshners repellents,home hygiene,, shmp full on volume bt ,"['full', 'volume']"
 kitchen towl y 2 rol prntd,60 2pl,paseo,toys,toys stationery,, kitchen towl y 2 rol prntd,['kitchen']
 mix bhuna masala korma pp ,65g,maggi,noodles pastas vermicelli,branded food,bhuna korma, mix masala pp ,"['mix', 'masala']"
 hw moisture shield pp ,800ml,savlon,toys,toys stationery,, hw moisture shield pp ,"['moisture', 'shield']"
 comb cellulose acetate no 6,,ts,toys,toys stationery,, comb cellulose acetate no 6,"['comb', 'cellulose', 'acetate']"
 tissue car box 2 ply 20*20cm,100p,sach,toys,toys stationery,, tissue car box 2 ply 20*20cm,"['tissue', 'car', 'box', 'ply']"
 white cotton ball ,50p,ts,stationery,toys stationery,cotton white, ball ,['ball']
 pasta craft fusilli pp ,1kg,del monte,noodles pastas vermicelli,branded food,fusilli pasta, craft pp ,['craft']
bonn bread white prime time ,,premium,stationery,toys stationery,bread white,bonn prime time ,"['bonn', 'prime', 'time']"
crmt dinner nakin * ly 50,38 2 p,,toys,toys stationery,,crmt dinner nakin * ly 50,['dinner']
crmt face nap 22*22cm 1ply,6*100p,paper boat,skin care,beauty personal care,,crmt face nap 22*22cm 1ply,"['face', 'nap']"
crmt cotton buds sticks box ,200p,,otc,beauty personal care,buds cotton,crmt sticks box ,"['sticks', 'box']"
 o meal muglai paneer ,285g,kitchens of india,ready to eat,branded food,paneer, o meal muglai ,['meal']
 o h&e malbari chicken stew ,285g,kitchens of india,ready to eat,branded food,chicken, o h&e malbari stew ,['stew']
 go cheese plain slice ,476g,gowardhan,sauces puree dips,branded food,cheese, go plain slice ,"['plain', 'slice']"
j&j wipes soft ,20p,baby,baby care,baby care,,j&j wipes soft ,"['wipes', 'soft']"
 toothpaste senst pro relief ,70g,colgate,oral care,beauty personal care,, toothpaste senst pro relief ,"['toothpaste', 'pro', 'relief']"
 tbrush zig zag black medium ,1p,colgate,oral care,beauty personal care,black, tbrush zig zag medium ,"['zig', 'zag', 'medium']"
kelloggs cornflakes strawberry ,27g,,chocolates cakes confectioneries,branded food,strawberry,kelloggs cornflakes ,"['kelloggs', 'cornflakes']"
 readymix pav bhaji bx ,100g,badshah,chips namkeens snacks,branded food,bhaji, readymix pav bx ,['pav']
haldirams cks peanut chikki bx ,400g,,chocolates cakes confectioneries,branded food,peanut,haldirams cks chikki bx ,[]
ongs sauce black bean ,227g,,sauces puree dips,branded food,sauce bean black,ongs ,[]
butter sponge cake,,ritter sport,chocolates cakes confectioneries,branded food,butter, sponge cake,"['sponge', 'cake']"
 pure magic deuce white choco ,60g,britannia,chocolates cakes confectioneries,branded food,choco white, pure magic deuce ,"['pure', 'magic', 'deuce']"
 tampons soft super bx ,9p,sofy,feminine care,beauty personal care,tampons, soft super bx ,"['soft', 'super']"
pooof wafflet belgian pp ,50g,chocolate,chocolates cakes confectioneries,branded food,,pooof wafflet belgian pp ,['belgian']
 grandor almd pistachio white ,100g,heidi,toys,toys stationery,white pistachio, grandor almd ,[]
pilsbury spread ,65g,chocolate,chocolates cakes confectioneries,branded food,,pilsbury spread ,['spread']
 coconut oil jr ,250ml,parachute,hair care,beauty personal care,coconut, oil jr ,['oil']
 choc dm jelly popping candy ,35g,cadbury,chocolates cakes confectioneries,branded food,jelly candy, choc dm popping ,"['choc', 'popping']"
vaselne cocoa btr 1 ndspnwfw20g-dup,00m np,,chocolates cakes confectioneries,branded food,,vaselne cocoa btr 1 ndspnwfw20g-dup,"['cocoa', 'btr']"
singarawholemedium,,,chocolates cakes confectioneries,branded food,,singarawholemedium,[]
scampihosmal,,cinthol,skin care,beauty personal care,,scampihosmal,[]
 herbal conditioner ,250ml,jovees,hair care,beauty personal care,, herbal conditioner ,"['herbal', 'conditioner']"
 utensil bar dish shine round ,700g,exo,home cleaning,home hygiene,dish, utensil bar shine round ,"['utensil', 'bar', 'shine', 'round']"
 mustard bt ,1l,dhara,edible oil ghee,grocery,mustard, bt ,[]
 macaroni pep elbows pasta,,bambino,noodles pastas vermicelli,branded food,pasta, macaroni pep elbows ,"['macaroni', 'pep', 'elbows']"
 floor clnr ine 500m,3in1 p,lizol,home cleaning,home hygiene,, floor clnr ine 500m,"['floor', 'ine']"
 wa crm vanilla 700m ,1+1 op,kwality walls,ice cream desserts,branded food,vanilla, wa crm 700m ,[]
hersheys kisses almond ,311g,chocolate,chocolates cakes confectioneries,branded food,almond,hersheys kisses ,['kisses']
 mexican ,275g,home alone,rice wheat other grains,grocery,, mexican ,['mexican']
 naughty tomatoes ,105.5g,kurkure,chips namkeens snacks,branded food,tomatoes, naughty ,['naughty']
 thai weet chili auce ,200g,sangi s kitchen,sauces puree dips,branded food,chili, thai weet auce ,['thai']
 dahi actiplus ,400g,nestle,chocolates cakes confectioneries,branded food,dahi, actiplus ,[]
 raspberry instant china grass mix ,100g,blue bird,baking dessert mixes,branded food,raspberry, instant china grass mix ,"['instant', 'china', 'grass', 'mix']"
 miniatures 9,150g,snickers,chocolates cakes confectioneries,branded food,, miniatures 9,['miniatures']
 deo rush man cn ,150ml,engage,deos perfumes,beauty personal care,, deo rush man cn ,"['deo', 'rush', 'man']"
gh daily oth pulse wh chawli ,500g,red bull,skin care,beauty personal care,,gh daily oth pulse wh chawli ,"['daily', 'oth', 'pulse']"
gh daily oth pulse masoor dal std 1k,,,dals pulses,grocery,dal masoor,gh daily oth pulse std 1k,"['daily', 'oth', 'pulse', 'std']"
 bournvita drink jar ,1kg,cadbury,health drinks,beverages,, bournvita drink jar ,"['drink', 'jar']"
gh daily who guntur chilli ,100g,old spice,freshners repellents,home hygiene,chilli,gh daily who guntur ,['daily']
gh who coriander ,100g,old spice,freshners repellents,home hygiene,coriander,gh who ,[]
gh daily who plain makhana ,100g,old spice,freshners repellents,home hygiene,,gh daily who plain makhana ,"['daily', 'plain']"
gh who jaiphal ,20g,old spice,freshners repellents,home hygiene,,gh who jaiphal ,[]
 milk mocha frappucino ,281ml,starbucks,chocolates cakes confectioneries,branded food,mocha frappucino milk, ,[]
 kool rose lassi ,1l,amul,ice cream desserts,branded food,lassi, kool rose ,['rose']
ttrt french fries pp ,200g,frozen,frozen veg,branded food,fries,ttrt french pp ,['french']
ttrt french fries sprinklers pp ,500g,frozen,frozen veg,branded food,fries,ttrt french sprinklers pp ,"['french', 'sprinklers']"
ttrt cooking pasta assorted op,4*250g,,noodles pastas vermicelli,branded food,pasta,ttrt cooking assorted op,"['cooking', 'assorted']"
chamble soyabean jr ,5l,,edible oil ghee,grocery,soyabean,chamble jr ,[]
 italiano cup ,70g,nissin,noodles pastas vermicelli,branded food,, italiano cup ,"['italiano', 'cup']"
 soap almond&cream ,4*150g,jo,skin care,beauty personal care,, soap almond&cream ,['soap']
 farfalle pasta ,500g,agnesi,noodles pastas vermicelli,branded food,pasta farfalle, ,[]
"eat anytime healthy enery - butterscotch, m",40 g,yoga bar,chocolates cakes confectioneries,branded food,,"eat anytime healthy enery - butterscotch, m","['eat', 'anytime', 'healthy']"
roopak readymix chat msl ,100g,fruit,chocolates cakes confectioneries,branded food,,roopak readymix chat msl ,"['chat', 'msl']"
 deo mysterious bx ,122ml,axe signature,deos perfumes,beauty personal care,, deo mysterious bx ,"['deo', 'mysterious']"
abbies mushroom pasta sauce ,397g,,sauces puree dips,branded food,mushroom sauce pasta,abbies ,[]
 gold saff & ricebran pp ,1l,saffola,edible oil ghee,grocery,, gold saff & ricebran pp ,['gold']
loreal shmp fall repair3x anti hrfl 360m,,,hair care,beauty personal care,,loreal shmp fall repair3x anti hrfl 360m,"['fall', 'anti']"
 inst pasta yippee masala pp ,70g,sunfeast,noodles pastas vermicelli,branded food,pasta, inst yippee masala pp ,"['inst', 'yippee', 'masala']"
 sauce tomato garlic & onion bottle ,397g,ragu,sauces puree dips,branded food,garlic onion sauce tomato, & bottle ,['bottle']
rostaa salted mix pp ,35g,premium,masala spices,grocery,,rostaa salted mix pp ,"['salted', 'mix']"
l- urad saut,,b natural,otc,beauty personal care,saut urad,l- ,[]
 white sugarfree blister pp ,4.4g,orbit,chocolates cakes confectioneries,branded food,white, sugarfree blister pp ,['blister']
 co rawa idli mix ,200g,desi atta company,baking dessert mixes,branded food,idli, co rawa mix ,['mix']
 co medu vada mix pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,vada, co medu mix pp ,['mix']
 tbruh oft med,360 s,colgate,oral care,beauty personal care,, tbruh oft med,"['oft', 'med']"
 deep pure oil control face wash cleanser ,50ml,dove,skin care,beauty personal care,, deep pure oil control face wash cleanser ,"['deep', 'pure', 'oil', 'control', 'face', 'wash', 'cleanser']"
 pants diaper lrg ,20p,pampers,baby care,baby care,pants diaper, lrg ,[]
 walnut whole pp ,1kg,karmiq,dry fruits,grocery,walnut, whole pp ,['whole']
 jam orange marmalade ,200g,kissan,jams spreads honey,branded food,marmalade orange, jam ,['jam']
 original potato ,110g,pringles,chips namkeens snacks,branded food,potato, original ,['original']
 squash grape bt ,700ml,kissan,fruit juices drinks,beverages,squash grape, bt ,[]
 moong dal ,500g,mother earth,ready to fry,branded food,moong dal, ,[]
 red chana ,500g,mother earth,chips namkeens snacks,branded food,chana red, ,[]
 nutri choice heavens oats almond & milk ,150g,britannia,biscuits cookies crackers,branded food,oats almond milk, nutri choice heavens & ,"['choice', 'heavens']"
 treat chocolate biscuit ,150g,britannia,biscuits cookies crackers,branded food,chocolate, treat biscuit ,"['treat', 'biscuit']"
munchys sandwich cracker ,313g,,biscuits cookies crackers,branded food,sandwich,munchys cracker ,['cracker']
 ipc butter pepper 70g,50g,act ii,chips namkeens snacks,branded food,pepper butter, ipc 70g,['ipc']
 natural microwave pop corn ,99g,act ii,chips namkeens snacks,branded food,corn, natural microwave pop ,"['natural', 'microwave', 'pop']"
 brown bread,,britannia,biscuits cookies crackers,branded food,bread brown, ,[]
chicken sheek kabab ,500g,venkys,ready to eat,branded food,kabab chicken, sheek ,[]
 snk nachoz jalapeno pp ,150g,act ii,chips namkeens snacks,branded food,jalapeno, snk nachoz pp ,[]
 maska chaska biscuit ,50g,britannia,biscuits cookies crackers,branded food,, maska chaska biscuit ,['biscuit']
 m pow coriandr pp 100g,24 l,old spice,stationery,toys stationery,, m pow coriandr pp 100g,['pow']
 m moong da chika pp 500g,24 l,,stationery,toys stationery,moong, m da chika pp 500g,[]
 snk hariyali bites pp ,360g,yummiez,frozen veg,branded food,, snk hariyali bites pp ,['bites']
 face tissue linen washable 10n,,beeta,stationery,toys stationery,washable, face tissue linen 10n,"['face', 'tissue', 'linen']"
j.magic sanitizer pandy ,50ml,,mineral water soda,beverages,,j.magic sanitizer pandy ,['pandy']
 mosquito repellant patch k,6p,prosmart,freshners repellents,home hygiene,, mosquito repellant patch k,"['mosquito', 'patch']"
 peas green peas ,500g,safal,masala spices,grocery,peas green, ,[]
